_id,ltable_ID,rtable_ID,ltable_full name,ltable_club,ltable_overall,rtable_full_name,rtable_club,rtable_overall,gold_labels
13989,1420,757,carlos manuel cardoso mane,vfb stuttgart,76,carlos manuel cardoso mane,vfb stuttgart,76,1
14674,1746,315,marcos angeleri,san lorenzo de almagro,75,fernando belluschi,san lorenzo de almagro,80,0
14869,1262,290,vitor hugo franchescoli souza,fiorentina,77,davide astori,fiorentina,81,0
14875,1262,618,vitor hugo franchescoli souza,fiorentina,77,vitor hugo franchescoli souza,fiorentina,77,1
15281,1210,631,joel veltman,ajax,77,joel veltman,ajax,77,1
15304,1434,916,donny van de beek,ajax,76,frenkie de jong,ajax,75,0
15956,786,519,sergio garcia de la fuente,rcd espanyol,78,esteban granero molina,rcd espanyol,78,0
15969,829,519,esteban granero molina,rcd espanyol,78,esteban granero molina,rcd espanyol,78,1
16017,931,312,gerard moreno balaguero,rcd espanyol,78,gerard moreno balaguero,rcd espanyol,80,0
16083,1700,364,javier lopez rodriguez,rcd espanyol,76,javier fuego martinez,rcd espanyol,80,0
16187,544,782,eric fernando botteghin,feyenoord,80,jan-arie van der heijden,feyenoord,76,0
16203,979,782,robin van persie,feyenoord,78,jan-arie van der heijden,feyenoord,76,0
16468,995,889,emanuele giaccherini,chievo verona,78,riccardo meggiorini,chievo verona,76,0
16491,1113,904,ivan radovanovic,chievo verona,77,nenad tomovic,chievo verona,76,0
18344,1761,1098,nicolas spolli,genoa,75,nicolas spolli,genoa,75,1
18460,1622,1097,adrian gonzalez morales,malaga cf,76,adalberto penaranda,malaga cf,75,0
18673,1851,1541,jose alberto canas ruiz-herrera,paok,75,dimitrios pelkas,paok,73,0
18899,1756,1112,julian omar ramos suarez,cd leganes,75,mauro dos santos,cd leganes,75,0
18947,1141,635,davy propper,brighton & hove albion,77,davy propper,brighton & hove albion,77,1
19050,1222,1501,ricardo jose araujo ferreira,sc braga,77,ricardo sousa esgaio,sc braga,73,0
19072,1447,1002,fabio santos martins,sc braga,76,fransergio rodrigues barbosa,sc braga,75,0
19544,1049,641,wes hoolahan,norwich city,77,wes hoolahan,norwich city,77,1
19632,1735,1064,aiden mcgeady,sunderland,75,aiden mcgeady,sunderland,75,1
19939,1694,844,andy delort,toulouse football club,76,andy delort,toulouse football club,76,1
20109,1282,1013,carlos eduardo de oliveira alves,al hilal,77,carlos eduardo de oliveira alves,al hilal,75,0
20128,1857,592,carlos eduardo de oliveira alves,al hilal,75,carlos eduardo de oliveira alves,al hilal,77,0
20896,678,4639,stefan radu,lazio,79,mamadou tounkara,lazio,65,0
21601,1296,2986,renato steffen,vfl wolfsburg,77,marvin stefaniak,vfl wolfsburg,69,0
21743,1808,4125,theodor gebre selassie,sv werder bremen,75,ulisses garcia,sv werder bremen,67,0
21773,1380,3660,alfred duncan,sassuolo,76,cristian dell'orco,sassuolo,68,0
21829,1177,2848,nicolas de preville,fc girondins de bordeaux,77,alexandre mendy,fc girondins de bordeaux,70,0
22380,1886,2466,antonio manuel luna rodriguez,levante ud,75,sasa lukic,levante ud,70,0
23314,1194,3303,marcelo dos santos ferreira,rio ave fc,77,marcos nascimento teixeira,rio ave fc,68,0
23510,1372,3715,renan bardini bressan,chaves,76,jefferson de jesus santos,chaves,67,0
23554,1508,4469,jose juan vazquez,santos laguna,76,jorge enriquez,santos laguna,66,0
23930,555,6701,adrien rabiot,paris saint-germain,80,romain habran,paris saint-germain,68,0
23934,5,5443,kevin de bruyne,manchester city,91,brahim diaz,manchester city,66,0
24251,269,6401,jordan henderson,liverpool,82,trent alexander-arnold,liverpool,68,0
24480,996,6842,andre gomes magalhaes almeida,sl benfica,78,pedro miguel pereira,sl benfica,69,0
24488,1695,6842,andre gomes magalhaes almeida,sl benfica,76,pedro miguel pereira,sl benfica,69,0
24979,388,6254,asier illarramendi,real sociedad,81,eneko capilla gonzalez,real sociedad,67,0
24985,727,6254,diego javier llorente rios,real sociedad,79,eneko capilla gonzalez,real sociedad,67,0
25054,669,6615,igor denisov,lokomotiv moscow,79,timofey margasov,lokomotiv moscow,68,0
25076,1657,6802,dmitriy tarasov,lokomotiv moscow,76,mikhail lysov,lokomotiv moscow,68,0
26270,1283,7269,borja garcia freire,girona fc,77,farid boulaya,girona fc,70,0
26481,1073,6847,marco andreolli,cagliari,77,andrea cossu,cagliari,69,0
26515,1888,6612,joao pedro g. santos galvao,cagliari,75,paolo pancrazio farago,cagliari,68,0
27348,35,8509,edinson cavani,paris saint-germain,88,giovani lo celso,paris saint-germain,74,0
27718,20,9716,david josue jimenez silva,manchester city,89,david josue jimenez silva,manchester city,89,1
27728,41,9716,david josue jimenez silva,manchester city,87,david josue jimenez silva,manchester city,89,0
27853,236,9576,gabriel fernando de jesus,manchester city,83,gabriel fernando de jesus,manchester city,81,0
27912,761,9430,john stones,manchester city,79,john stones,manchester city,79,1
28186,133,9418,alvaro borja morata martin,chelsea,84,victor moses,chelsea,79,0
28314,423,9599,andreas christensen,chelsea,81,andreas christensen,chelsea,81,1
28622,119,9664,medhi benatia,juventus,84,benedikt howedes,juventus,83,0
28773,15,9717,alexis sanchez,arsenal,89,alexis sanchez,arsenal,89,1
28882,493,9523,ignacio monreal eraso,arsenal,80,sead kolasinac,arsenal,80,0
28896,552,9523,sead kolasinac,arsenal,80,sead kolasinac,arsenal,80,1
29059,174,9715,antonio valencia,manchester united,83,alexis sanchez,manchester united,89,0
29188,591,9522,jesse lingard,manchester united,80,daley blind,manchester united,80,0
29224,737,9522,victor lindelof,manchester united,79,daley blind,manchester united,80,0
29462,192,7487,giacomo bonaventura,milan,83,jherson vergara,milan,70,0
29535,599,8703,alessio romagnoli,milan,79,manuel locatelli,milan,74,0
29557,810,9666,riccardo montolivo,milan,78,giacomo bonaventura,milan,83,0
29575,826,9346,cristian zapata,milan,78,cristian zapata,milan,78,1
29777,898,9277,sebastian rode,borussia dortmund,78,sebastian rode,borussia dortmund,78,1
29832,36,9690,christian eriksen,tottenham hotspur,88,jan vertonghen,tottenham hotspur,85,0
30097,1095,9179,moussa sissoko,tottenham hotspur,77,moussa sissoko,tottenham hotspur,77,1
30238,220,9626,raul albiol tortajada,napoli,83,raul albiol tortajada,napoli,82,0
30378,874,8474,emanuele giaccherini,napoli,78,zinedine machach,napoli,73,0
30593,726,9466,anderson souza conceicao,besiktas jk,79,anderson souza conceicao,besiktas jk,79,0
30925,127,9678,kevin strootman,roma,84,kostas manolas,roma,84,0
31482,1388,9011,rachid ghezzal,as monaco football club sa,76,rachid ghezzal,as monaco football club sa,76,1
31532,284,9629,ciro immobile,lazio,82,ciro immobile,lazio,82,1
31648,1812,8752,filip orevic,lazio,75,filip orevic,lazio,75,1
31810,419,9574,morgan sanson,olympique de marseille,81,morgan sanson,olympique de marseille,81,1
32185,556,9544,alejandro grimaldo garcia,sl benfica,80,alejandro grimaldo garcia,sl benfica,80,1
32446,202,9367,danilo luis helio pereira,fc porto,83,maximiliano pereira,fc porto,78,0
32628,838,9367,maximiliano pereira,fc porto,78,maximiliano pereira,fc porto,78,1
33239,1468,9398,carlos soler barragan,valencia cf,76,carlos soler barragan,valencia cf,78,0
33496,700,9016,marcelo antonio guedes filho,olympique lyonnais,79,mariano diaz mejia,olympique lyonnais,76,0
33562,1208,9606,fernando marcal de oliveira,olympique lyonnais,77,marcelo antonio guedes filho,olympique lyonnais,81,0
33783,983,9400,mathieu debuchy,as saint-etienne,78,mathieu debuchy,as saint-etienne,78,1
33792,990,9395,yann m'vila,as saint-etienne,78,yann m'vila,as saint-etienne,78,1
33925,356,9224,wayne rooney,everton,81,ramiro funes mori,everton,77,0
34170,511,8659,daniel filipe martins carrico,sevilla fc,80,lionel carole,sevilla fc,74,0
34184,532,9255,pablo sarabia garcia,sevilla fc,80,sandro ramirez castillo,sevilla fc,77,0
34187,532,9428,pablo sarabia garcia,sevilla fc,80,nicolas pareja,sevilla fc,79,0
34270,929,9361,guido pizarro,sevilla fc,78,guido pizarro,sevilla fc,78,1
34427,440,9246,bruno miguel borges fernandes,sporting cp,81,bruno cesar zanaki,sporting cp,77,0
34537,1077,9391,bryan ruiz,sporting cp,77,alan ruiz,sporting cp,78,0
34586,1345,9413,cristiano piccini,sporting cp,76,cristiano piccini,sporting cp,78,0
34758,1304,8221,jonathan calleri,ud las palmas,77,javier castellano betancor,ud las palmas,73,0
35817,333,9517,thorgan hazard,borussia monchengladbach,82,thorgan hazard,borussia monchengladbach,80,0
36387,1601,9620,carlos martinez diaz,real sociedad,76,carlos vela,real sociedad,82,0
36433,301,9621,karim bellarabi,bayer 04 leverkusen,82,karim bellarabi,bayer 04 leverkusen,82,1
36521,1163,9310,charles aranguiz,bayer 04 leverkusen,77,julian baumgartlinger,bayer 04 leverkusen,78,0
36588,1665,8966,admir mehmedi,bayer 04 leverkusen,76,admir mehmedi,bayer 04 leverkusen,76,1
36870,447,7917,manuel h. tavares fernandes,lokomotiv moscow,81,maciej rybus,lokomotiv moscow,72,0
36989,1673,8990,eder macedo lopes,lokomotiv moscow,76,eder macedo lopes,lokomotiv moscow,76,1
37134,528,9558,yaroslav rakitskyi,shakhtar donetsk,80,yaroslav rakitskyi,shakhtar donetsk,80,1
37393,1239,7943,matteo politano,sassuolo,77,edoardo goldaniga,sassuolo,72,0
38321,836,9425,jose holebas,watford,78,sebastian prodl,watford,79,0
38398,1119,9206,daryl janmaat,watford,77,daryl janmaat,watford,77,1
38734,1746,8602,marcos angeleri,san lorenzo de almagro,75,leandro romagnoli,san lorenzo de almagro,74,0
38762,1117,8062,rafael de souza pereira,tigres u.a.n.l.,77,israel jimenez,tigres u.a.n.l.,72,0
38782,1373,9038,jurgen damm,tigres u.a.n.l.,76,jurgen damm,tigres u.a.n.l.,76,1
38954,1321,8913,federico chiesa,fiorentina,77,federico chiesa,fiorentina,75,0
39283,1029,9407,david neres campos,ajax,78,david neres campos,ajax,78,1
39340,424,9587,daniel garcia carrillo,sd eibar,81,daniel garcia carrillo,sd eibar,81,1
39383,938,9384,paulo andre rodrigues oliveira,sd eibar,78,paulo andre rodrigues oliveira,sd eibar,78,1
40049,907,8614,sergi darder moll,rcd espanyol,78,sergio sanchez ortega,rcd espanyol,74,0
40215,544,8053,eric fernando botteghin,feyenoord,80,michiel kramer,feyenoord,72,0
40307,475,9508,jonathan dos santos,la galaxy,80,jonathan dos santos,la galaxy,80,1
40311,620,9473,giovani dos santos,la galaxy,79,giovani dos santos,la galaxy,79,1
40321,1030,9473,romain alessandrini,la galaxy,78,giovani dos santos,la galaxy,79,0
40391,1038,9185,alexander meier,eintracht frankfurt,77,alexander meier,eintracht frankfurt,77,1
40398,1079,9052,jonathan de guzman,eintracht frankfurt,77,gelson tavares fernandes,eintracht frankfurt,76,0
40424,1199,9185,sebastien haller,eintracht frankfurt,77,alexander meier,eintracht frankfurt,77,0
40528,1032,9140,alessandro gamberini,chievo verona,77,alessandro gamberini,chievo verona,77,1
40540,1071,9199,perparim hetemaj,chievo verona,77,perparim hetemaj,chievo verona,77,1
40618,1577,7666,abraham gonzalez casanova,u.n.a.m.,76,david cabrera,u.n.a.m.,71,0
40680,1710,9021,billy ketkeophomphone,angers sco,76,billy ketkeophomphone,angers sco,76,1
40747,1013,9399,vincent koziello,1. fc koln,78,vincent koziello,1. fc koln,78,1
41220,773,9492,hirving lozano,psv,79,hirving lozano,psv,79,1
41261,1461,9096,gaston pereiro,psv,76,gaston pereiro,psv,76,1
41331,1184,9119,jeffrey gouweleeuw,fc augsburg,77,michael gregoritsch,fc augsburg,76,0
41397,1483,7499,pablo aguilar,club tijuana,76,emanuel aguilera,club tijuana,70,0
41416,715,9479,jonathas de jesus mauricio,hannover 96,79,jonathas de jesus mauricio,hannover 96,79,1
41819,798,9352,rodrigo palacio,bologna,78,rodrigo palacio,bologna,78,1
41868,1690,9007,mattia destro,bologna,76,sebastian de maio,bologna,76,0
41869,1690,9063,mattia destro,bologna,76,mattia destro,bologna,76,1
42015,1324,8571,lucas torreira,sampdoria,77,edgar barreto,sampdoria,74,0
42520,1433,9087,erick gutierrez,pachuca,76,erick gutierrez,pachuca,76,1
42545,850,9308,omar el kaddouri,paok,78,omar el kaddouri,paok,78,1
42576,1783,8854,fernando lopes dos santos varela,paok,75,fernando lopes dos santos varela,paok,75,1
42671,1479,8609,ignacio scocco,river plate,76,ignacio scocco,river plate,74,0
42962,1169,9079,wilson bruno naval costa eduardo,sc braga,77,ricardo jorge da luz horta,sc braga,76,0
43018,1544,8711,danilo barbosa da silva,sc braga,76,danilo barbosa da silva,sc braga,74,0
43340,1667,9024,daniel brosinski,1. fsv mainz 05,76,daniel brosinski,1. fsv mainz 05,76,1
43409,1031,9216,aaron mooy,huddersfield town,78,aaron mooy,huddersfield town,77,0
43455,1033,9228,kim kallstrom,djurgardens if,77,kim kallstrom,djurgardens if,77,1
43456,1549,7428,jonas olsson,djurgardens if,76,magnus eriksson,djurgardens if,70,0
43805,1781,8760,alessio cerci,hellas verona,75,alessio cerci,hellas verona,75,1
44016,1832,8208,joao miguel coimbra aurelio,vitoria guimaraes,75,joao ricardo da silva afonso,vitoria guimaraes,72,0
44078,1383,8071,nawaf al abed,al hilal,76,abdulmalek al khaibari,al hilal,72,0
44120,1352,8455,rodrigo modesto da silva moledo,panathinaikos fc,76,robin lod,panathinaikos fc,73,0
44176,1452,9098,thiago maia alencar,losc lille,76,thiago maia alencar,losc lille,76,1
44281,1440,8977,aytac sulu,sv darmstadt 98,76,aytac sulu,sv darmstadt 98,76,1
44305,1526,7622,jae sung lee,jeonbuk hyundai motors,76,dong gook lee,jeonbuk hyundai motors,71,0
44584,1789,8862,dejan damjanovic,fc seoul,75,dejan damjanovic,fc seoul,75,1
44606,1870,8837,milos ninkovic,sydney fc,75,milos ninkovic,sydney fc,75,1
44835,2585,1123,alaixys romao,olympiacos cfp,74,omar elabdellaoui,olympiacos cfp,75,0
44968,1897,596,hans vanaken,club brugge kv,75,hans vanaken,club brugge kv,77,0
45071,3169,1494,marvelous nakamba,club brugge kv,73,marvelous nakamba,club brugge kv,73,1
45220,3072,1734,james tarkowski,burnley,73,james tarkowski,burnley,73,1
45269,3416,1985,scott arfield,burnley,72,scott arfield,burnley,72,1
45295,2119,966,welthon fiel sampaio,vitoria guimaraes,75,welthon fiel sampaio,vitoria guimaraes,75,1
45391,3134,1961,nery dominguez,independiente,73,nicolas domingo,independiente,72,0
45405,1902,1162,gaetan bussmann,1. fsv mainz 05,75,gaetan bussmann,1. fsv mainz 05,75,1
45592,1991,988,jefferson lerma,levante ud,75,jefferson lerma,levante ud,75,1
45767,3353,1867,pedro lopez munoz,levante ud,72,ivan lopez mendoza,levante ud,72,0
45808,3688,1833,roberto suarez pier,levante ud,72,roberto suarez pier,levante ud,72,1
45845,1906,1050,remo freuler,atalanta,75,remo freuler,atalanta,75,1
45857,1951,1129,marten de roon,atalanta,75,marten de roon,atalanta,75,1
46061,3502,1917,didac vila rosello,rcd espanyol,72,didac vila rosello,rcd espanyol,72,1
46350,2344,1381,gotoku sakai,hamburger sv,74,gotoku sakai,hamburger sv,74,1
46373,2969,1905,carl jenkinson,birmingham city,73,michael morrison,birmingham city,72,0
46388,3475,1905,michael morrison,birmingham city,72,michael morrison,birmingham city,72,1
46435,1916,1030,fabian castillo,trabzonspor,75,fabian castillo,trabzonspor,75,1
46711,2015,858,leo dubois,fc nantes,75,nicolas pallois,fc nantes,76,0
47096,2289,881,carles planas antolinez,girona fc,74,bernardo espinosa,girona fc,76,0
47231,2467,1194,amath ndiaye diedhiou,getafe cf,74,amath ndiaye diedhiou,getafe cf,74,1
47262,3351,2066,markel bergara larranaga,getafe cf,72,leandro cabrera,getafe cf,71,0
47341,2441,1426,mikel merino zazon,newcastle united,74,mikel merino zazon,newcastle united,74,1
47538,2280,1279,brice dja djedje,watford,74,brice dja djedje,watford,74,1
47879,2653,1775,marcio gonzaga de azevedo,shakhtar donetsk,74,maksym malyshev,shakhtar donetsk,72,0
47892,1942,1094,simon falette,eintracht frankfurt,75,simon falette,eintracht frankfurt,75,1
48049,3242,1814,michael barrios,fc dallas,73,carlos gruezo,fc dallas,72,0
48110,1953,1080,martin mantovani,cd leganes,75,martin mantovani,cd leganes,75,1
48212,2805,1678,roberto roman triguero,cd leganes,73,roberto roman triguero,cd leganes,73,1
48329,1950,1155,giancarlo gonzalez,bologna,75,godfred donsah,bologna,75,0
48475,3098,1701,erick pulgar,bologna,73,erick pulgar,bologna,73,1
48552,2434,1407,maxime lopez,olympique de marseille,74,maxime lopez,olympique de marseille,74,1
48624,2837,1681,dan gosling,bournemouth,73,dan gosling,bournemouth,73,1
48714,2341,1247,stefan ristovski,sporting cp,74,stefan ristovski,sporting cp,74,1
48756,3681,399,tobias pereira figueiredo,sporting cp,72,seydou doumbia,sporting cp,79,0
49221,3218,134,bernardo fernandes,rb leipzig,73,timo werner,rb leipzig,83,0
49424,1975,1118,ibrahim amadou,losc lille,75,ibrahim amadou,losc lille,75,1
49442,3152,1488,junior alonso,losc lille,73,junior alonso,losc lille,73,1
49526,3356,2009,raffaele palladino,genoa,72,raffaele palladino,genoa,72,1
49569,2022,1143,edgar antonio mendez ortega,cruz azul,75,edgar antonio mendez ortega,cruz azul,75,1
49668,3038,1542,alfonso gonzalez,monterrey,73,alfonso gonzalez,monterrey,73,1
49788,2549,1175,guido carrillo,southampton,74,guido carrillo,southampton,74,1
49975,3186,1476,guido rodriguez,club america,73,guido rodriguez,club america,73,1
50175,2777,1607,silvestre goncalves varela,kayserispor,73,silvestre goncalves varela,kayserispor,73,1
50594,2354,1351,mitchell dijks,ajax,74,mitchell dijks,ajax,74,1
50702,2476,1646,franko andrijasevic,kaa gent,74,anderson esiti,kaa gent,73,0
51325,3762,1795,jonathan renato barbosa,fc girondins de bordeaux,72,jonathan renato barbosa,fc girondins de bordeaux,72,1
51392,2429,190,ivan novoseltsev,zenit st. petersburg,74,branislav ivanovic,zenit st. petersburg,82,0
51493,2820,1731,francisco merida perez,ca osasuna,73,francisco merida perez,ca osasuna,73,1
51579,2047,1027,andres ibarguen,racing club,75,andres ibarguen,racing club,75,1
51793,3432,1636,tim matavz,vitesse,72,matt miazga,vitesse,73,0
51870,2428,1229,afonso rebeiro figueiredo,stade rennais fc,74,firmin ndombe mubele,stade rennais fc,74,0
52196,2936,1548,idriss saadi,rc strasbourg alsace,73,idriss saadi,rc strasbourg alsace,73,1
52335,2909,1692,nolan roux,football club de metz,73,nolan roux,football club de metz,73,1
52693,2719,1631,egemen korkmaz,medipol basaksehir fk,73,egemen korkmaz,medipol basaksehir fk,73,1
52760,2347,1180,filipe augusto carvalho souza,sl benfica,74,ruben santos gato alves dias,sl benfica,74,0
53785,3623,2019,luca ceppitelli,cagliari,72,luca ceppitelli,cagliari,72,1
53867,2379,1416,alexander djiku,stade malherbe caen,74,alexander djiku,stade malherbe caen,74,1
53911,2814,1717,romain genevois,stade malherbe caen,73,romain genevois,stade malherbe caen,73,1
53958,3278,1666,frederic guilbert,stade malherbe caen,73,frederic guilbert,stade malherbe caen,73,1
54048,2537,1360,goncalo manuel ganchinho guedes,valencia cf,74,goncalo manuel ganchinho guedes,valencia cf,74,1
54136,2938,1549,ivo daniel f. mendonca pinto,norwich city,73,ivo daniel f. mendonca pinto,norwich city,73,1
54147,2950,1615,grant hanley,norwich city,73,alexander tettey,norwich city,73,0
54316,2788,1680,stewart downing,middlesbrough,73,stewart downing,middlesbrough,73,1
54377,2584,743,leonardo de matos cruz,paok,74,mauricio jose da silveira junior,paok,76,0
54782,2958,2302,francisco montanes claverias,cd tenerife,73,jesus manuel santana abreu,cd tenerife,71,0
54968,2249,1285,fabio ricardo gomes fonseca,boavista fc,74,fabio ricardo gomes fonseca,boavista fc,74,1
55103,2877,1581,ruslan kambolov,rubin kazan,73,ruslan kambolov,rubin kazan,73,0
55142,3566,1893,magomed ozdoev,rubin kazan,72,magomed ozdoev,rubin kazan,72,1
55171,2259,1271,hyun jun suk,estac troyes,74,hyun jun suk,estac troyes,74,1
55241,3200,1697,zinedine machach,toulouse football club,73,zinedine machach,toulouse football club,73,1
55368,2270,1409,josip drmic,borussia monchengladbach,74,josip drmic,borussia monchengladbach,74,1
55527,2701,1282,markus rosenberg,malmo ff,73,anders christiansen,malmo ff,74,0
55586,3011,1528,tiago almeida ilori,reading,73,tiago almeida ilori,reading,73,1
55643,3122,429,joaquin correa,sevilla fc,73,sebastien corchia,sevilla fc,79,0
55722,3431,1931,te se chong,shimizu s-pulse,72,te se chong,shimizu s-pulse,72,1
55892,3315,1971,kenny miller,rangers fc,72,kenny miller,rangers fc,72,1
56029,2761,1363,marc wilson,sunderland,73,darron gibson,sunderland,74,0
56030,2761,1664,marc wilson,sunderland,73,marc wilson,sunderland,73,1
56186,3349,1169,chung-yong lee,crystal palace,72,ruben loftus-cheek,crystal palace,74,0
56225,3746,1799,hernan fredes,defensa y justicia,72,hernan fredes,defensa y justicia,72,1
56391,3636,1863,lars veldwijk,fc groningen,72,lars veldwijk,fc groningen,72,1
56550,2516,1189,facundo pereyra,gimnasia y esgrima la plata,74,facundo pereyra,gimnasia y esgrima la plata,74,1
56614,3486,1898,josef sural,sparta praha,72,josef sural,sparta praha,72,1
56617,2528,1213,marios oikonomou,bari,74,marios oikonomou,bari,74,1
56908,3015,1525,filip novak,fc midtjylland,73,filip novak,fc midtjylland,73,1
