name,full name,overall,club,league,nation,age,height,weight,foot,pac,acceleration,sprint speed,dri,agility,balance,reactions,ball control,dribbling,composure,sho,positioning,finishing,shot power,long_shots,volleys,penalties,defending,interceptions,heading accuracy,marking,standing tackle,sliding tackle,pas,vision,crossing,free kick accuracy,short passing,long passing,curve,phy,jumping,stamina,strength,aggression
sanchez,alexis sanchez,89,arsenal,premier league,chile,29,169,62,right,86,88,84,89,90,87,87,87,90,86,84,86,85,84,82,83,77,40,42,70,30,39,35,80,83,80,78,81,73,78,78,85,85,72,80
de bruyne,kevin de bruyne,89,manchester city,premier league,belgium,26,181,68,right,75,76,75,85,80,75,88,87,85,84,84,84,83,85,86,82,77,45,56,53,30,51,40,88,90,90,83,90,84,83,75,65,87,73,68
dybala,paulo dybala,89,juventus,calcio a,argentina,24,177,73,left,86,88,84,91,91,85,84,93,92,84,86,84,86,82,89,89,87,25,25,70,14,20,20,84,87,82,87,86,73,91,67,75,83,65,48
hummels,mats hummels,89,fc bayern munchen,bundesliga,germany,29,191,92,right,65,62,66,73,64,58,86,78,68,92,58,56,55,71,51,60,68,90,90,90,85,93,91,76,80,64,53,81,86,65,77,68,66,86,66
sanchez,alexis sanchez,89,manchester united,premier league,chile,29,169,62,right,86,88,84,89,90,87,87,87,90,86,84,86,85,84,82,83,77,40,42,70,30,39,35,80,83,80,78,81,73,78,78,85,85,72,80
david silva,david josue jimenez silva,89,manchester city,premier league,spain,32,173,67,left,68,72,65,89,94,91,85,92,85,94,74,83,72,72,75,81,75,39,44,55,25,45,29,88,93,83,75,92,79,82,62,67,79,56,51
robben,arjen robben,88,fc bayern munchen,bundesliga,holland,34,180,80,left,86,87,86,90,89,91,87,89,92,86,86,85,85,87,88,86,80,32,39,51,29,26,26,81,83,80,81,84,71,87,63,61,68,67,47
ibrahimovic,zlatan ibrahimovic,88,manchester united,premier league,sweden,36,195,95,right,65,63,67,82,81,41,86,88,82,91,88,86,87,91,85,90,91,32,20,80,15,41,27,81,83,76,82,84,76,82,82,69,71,88,84
thiago silva,thiago emiliano da silva,88,paris saint-germain,ligue 1 conforama,brazil,33,183,79,right,72,70,74,74,74,68,84,80,68,83,56,59,38,74,71,63,71,88,89,82,90,89,88,73,74,60,67,79,81,61,79,93,74,81,77
ozil,mesut ozil,88,arsenal,premier league,germany,29,180,76,left,71,75,68,86,83,70,87,90,86,78,74,83,74,70,76,77,67,24,24,54,22,16,19,87,92,82,79,89,84,84,58,52,69,57,48
hummels,mats hummels,88,fc bayern munchen,bundesliga,germany,29,191,92,right,64,62,65,72,64,58,85,77,68,91,58,56,55,71,51,60,68,89,89,89,85,92,90,75,79,64,53,80,85,65,76,68,66,85,66
godin,diego godin,88,atletico madrid,laliga santander,uruguay,32,186,78,right,65,62,67,64,63,58,85,76,53,82,48,48,42,67,43,47,50,88,88,92,87,86,89,65,52,55,51,79,70,49,78,89,67,80,86
boateng,jerome boateng,88,fc bayern munchen,bundesliga,germany,29,192,90,right,75,72,78,68,58,53,82,71,67,86,50,47,34,79,58,53,46,88,83,85,88,91,90,72,76,69,31,75,80,56,84,75,74,91,82
bonucci,leonardo bonucci,88,milan,calcio a,italy,30,190,85,right,68,62,72,71,60,52,86,75,69,84,54,38,39,74,65,58,70,87,90,88,84,88,88,70,74,44,61,79,85,56,81,85,73,85,82
aubameyang,pierre-emerick aubameyang,88,borussia dortmund,premier league,gabon,28,187,80,right,96,95,96,81,77,70,87,82,82,84,84,89,88,81,79,86,79,37,48,79,28,25,36,75,77,77,74,77,64,78,71,77,79,77,43
thiago,thiago alcantara,88,fc bayern munchen,bundesliga,spain,26,174,70,right,72,77,68,90,90,86,84,92,90,83,75,83,69,75,82,90,75,62,78,58,49,64,62,85,86,72,77,91,90,85,63,75,75,59,57
griezmann,antoine griezmann,88,atletico madrid,laliga santander,france,26,174,72,left,86,87,86,87,90,80,90,86,87,86,85,91,88,81,82,87,71,30,35,80,23,22,11,78,76,82,75,79,75,84,68,87,76,61,69
dybala,paulo dybala,88,juventus,calcio a,argentina,24,177,73,left,86,88,84,91,91,85,84,93,92,84,85,84,85,82,88,88,86,24,24,68,14,20,20,81,84,80,84,83,71,88,67,75,83,65,48
kante,n'golo kante,88,chelsea,premier league,france,26,168,68,right,82,83,80,81,84,91,88,79,77,85,66,71,65,72,66,56,54,82,92,54,75,90,86,76,77,67,49,85,80,49,84,79,94,77,90
aubameyang,pierre-emerick aubameyang,88,arsenal,premier league,gabon,28,187,80,right,96,95,96,81,77,70,87,82,82,84,84,89,88,81,79,86,79,37,48,79,28,25,36,75,77,77,74,77,64,78,71,77,79,77,43
cavani,edinson cavani,88,paris saint-germain,ligue 1 conforama,uruguay,31,184,71,right,77,75,78,81,82,59,92,81,81,84,85,94,85,87,79,86,86,42,48,88,24,45,27,73,78,70,75,79,50,76,82,89,93,74,85
eriksen,christian eriksen,88,tottenham hotspur,premier league,denmark,26,182,76,right,75,77,74,85,78,82,83,88,85,88,80,83,77,82,86,75,68,47,55,52,38,56,22,89,91,86,87,90,86,85,63,57,90,57,44
pogba,paul pogba,88,manchester united,premier league,france,25,191,84,right,76,73,78,85,76,61,85,90,87,86,79,83,71,90,82,85,76,68,68,73,66,68,66,86,88,79,83,88,90,86,88,85,91,91,75
kane,harry kane,88,tottenham hotspur,premier league,england,24,188,86,right,73,69,76,81,74,63,89,84,79,86,89,91,92,89,85,74,85,42,35,83,41,36,38,75,78,72,68,78,69,73,84,70,86,87,74
iniesta,andres iniesta lujan,87,fc barcelona,laliga santander,spain,33,171,68,right,71,72,71,90,79,84,88,94,90,89,70,84,70,65,71,74,71,58,66,54,57,57,56,87,94,77,70,92,86,80,58,52,58,58,58
pique,gerard pique bernabeu,87,fc barcelona,laliga santander,spain,31,194,85,right,65,55,73,66,58,42,84,78,59,86,61,58,64,62,51,57,69,86,88,83,86,87,86,69,62,57,43,81,80,58,76,74,66,83,72
david silva,david josue jimenez silva,87,manchester city,premier league,spain,32,173,67,left,68,72,65,87,92,89,84,90,84,92,72,81,71,71,73,79,73,38,43,54,25,44,29,87,92,83,75,91,79,82,61,66,78,56,51
rakitic,ivan rakitic,87,fc barcelona,laliga santander,croatia,30,184,78,right,65,67,64,82,72,66,79,87,84,81,84,80,83,84,88,80,78,60,69,58,52,65,53,86,87,81,84,87,92,88,66,44,76,63,67
hamsik,marek hamsik,87,napoli,calcio a,slovakia,30,183,79,right,74,72,75,84,76,66,88,87,86,84,80,88,78,82,83,79,70,68,72,74,60,73,62,84,86,78,72,88,82,80,70,71,85,69,56
marcelo,marcelo vieira da silva,87,real madrid,laliga santander,brazil,29,174,75,left,78,77,79,85,77,82,87,88,84,85,69,75,67,83,66,54,59,82,83,71,80,85,87,80,75,90,67,82,76,80,79,77,81,77,84
cavani,edinson cavani,87,paris saint-germain,ligue 1 conforama,uruguay,31,184,71,right,77,75,78,80,81,59,91,80,80,83,83,92,83,85,78,84,84,42,48,88,24,45,27,72,77,70,74,78,50,75,81,88,92,74,84
vidal,arturo vidal,87,fc bayern munchen,bundesliga,chile,30,180,75,right,75,76,74,79,75,77,89,83,76,86,81,80,77,86,85,78,81,83,85,81,76,89,85,80,80,76,68,84,82,76,84,82,91,77,93
eriksen,christian eriksen,87,tottenham hotspur,premier league,denmark,26,182,76,right,75,77,74,84,78,82,83,87,84,87,78,81,76,80,84,74,67,47,55,52,38,56,22,88,90,86,87,89,86,85,63,57,90,57,44
pogba,paul pogba,87,manchester united,premier league,france,25,191,84,right,74,72,76,84,76,61,84,89,86,85,79,83,71,90,82,85,76,68,68,73,66,68,66,84,86,78,82,86,88,84,88,85,91,91,75
verratti,marco verratti,87,paris saint-germain,ligue 1 conforama,italy,25,165,60,right,65,69,62,89,87,94,87,88,90,91,59,71,58,56,58,64,64,79,86,55,76,84,79,84,88,72,64,90,89,73,68,64,77,56,89
kante,n'golo kante,87,chelsea,premier league,france,26,168,68,right,81,82,80,80,83,90,87,79,77,84,66,71,65,72,66,56,54,81,91,54,75,89,85,75,76,67,49,84,79,49,84,79,94,77,90
sergio busquets,sergio busquets burgos,87,fc barcelona,laliga santander,spain,29,189,76,right,40,48,34,78,61,57,86,84,77,92,62,80,63,64,56,46,63,82,86,68,81,85,80,79,84,62,68,88,79,66,81,66,88,77,85
insigne,lorenzo insigne,87,napoli,calcio a,italy,26,163,59,right,90,94,86,91,98,95,81,92,89,79,77,86,75,72,83,77,63,25,26,56,16,24,22,84,89,85,78,85,74,85,51,54,76,44,34
jordi alba,jordi alba ramos,87,fc barcelona,laliga santander,spain,28,170,68,left,93,93,93,83,91,87,83,84,80,75,70,78,74,64,66,60,59,82,84,63,82,85,84,77,69,84,65,81,71,79,74,83,92,61,77
mertens,dries mertens,87,napoli,calcio a,belgium,30,169,61,right,90,93,87,90,95,93,85,88,90,81,83,86,86,80,81,70,78,36,36,35,30,40,40,81,84,78,78,83,75,83,56,61,76,42,60
coutinho,philippe coutinho correia,87,fc barcelona,laliga santander,brazil,25,171,68,right,82,88,77,89,93,93,81,89,89,85,80,85,75,82,88,76,65,35,30,47,24,44,40,84,88,77,82,86,78,85,65,59,81,61,55
pepe,kepler laveran lima ferreira,86,besiktas jk,super lig,portugal,35,188,81,right,68,65,70,61,63,49,83,62,58,77,50,40,46,63,56,23,57,86,86,80,86,86,87,57,48,46,47,70,61,44,80,76,62,84,94
ribery,franck ribery,86,fc bayern munchen,bundesliga,france,34,170,72,right,82,85,79,89,88,91,86,90,90,86,76,81,76,76,75,80,78,25,36,41,13,25,26,83,86,81,81,86,75,83,58,34,64,60,52
cesc fabregas,francesc fabregas i soler,86,chelsea,premier league,spain,30,180,77,right,63,65,62,81,65,77,81,86,80,92,77,78,76,77,75,81,80,60,50,74,60,63,62,88,91,85,81,91,90,77,64,68,80,64,45
benzema,karim benzema,86,real madrid,laliga santander,france,30,187,79,right,78,77,78,82,77,60,83,86,82,82,84,87,87,83,77,79,82,22,22,78,13,15,12,77,85,75,73,86,47,79,74,70,73,78,65
miranda,joao miranda de souza filho,86,inter,calcio a,brazil,33,186,78,right,71,67,74,68,61,57,82,72,65,84,49,43,43,70,41,51,49,88,88,83,89,90,86,60,58,48,39,70,69,32,77,82,65,80,83
sokratis,sokratis papastathopoulos,86,borussia dortmund,bundesliga,greece,29,186,85,right,78,71,84,61,62,68,81,58,58,82,52,50,44,79,48,46,33,87,80,87,88,90,86,55,52,47,35,64,64,36,84,87,74,86,91
mertens,dries mertens,86,napoli,calcio a,belgium,30,169,61,right,90,93,87,89,94,92,85,88,89,81,82,85,85,80,81,70,78,36,36,35,30,40,40,79,82,77,77,81,74,81,55,60,75,42,59
javi martinez,javier martinez aginaga,86,fc bayern munchen,bundesliga,spain,29,190,81,right,50,49,50,66,54,58,84,71,62,83,60,57,53,76,63,61,52,86,86,90,84,87,87,69,74,60,45,75,74,54,80,83,64,84,91
nainggolan,radja nainggolan,86,roma,calcio a,belgium,29,176,77,right,78,80,76,82,81,84,87,85,80,85,80,88,76,84,86,75,63,81,86,59,78,86,88,78,76,73,68,84,81,73,83,76,94,76,88
diego costa,diego da silva costa,86,chelsea,laliga santander,spain,29,186,87,right,75,74,75,76,58,52,86,83,77,84,83,88,88,84,73,81,76,40,40,83,28,39,34,65,74,65,59,67,52,62,88,64,83,91,93
david luiz,david luiz moreira marinho,86,chelsea,premier league,brazil,30,189,84,right,70,68,71,71,72,56,79,79,66,78,64,54,55,77,71,64,75,84,87,83,80,85,84,74,69,68,76,79,78,70,81,80,76,81,86
alderweireld,toby alderweireld,86,tottenham hotspur,premier league,belgium,29,187,91,right,66,62,69,66,60,50,86,70,62,81,58,56,45,86,66,38,60,87,84,82,89,90,85,72,67,64,69,77,81,63,80,81,76,82,81
reus,marco reus,86,borussia dortmund,bundesliga,germany,28,180,75,right,88,86,90,85,86,81,87,85,86,83,87,86,86,87,88,88,87,39,50,49,30,36,46,84,86,80,84,86,80,90,64,72,68,67,49
coutinho,philippe coutinho correia,86,liverpool,laliga santander,brazil,25,171,68,right,82,88,77,88,92,92,81,88,88,85,78,83,74,80,86,75,64,35,30,47,24,44,40,83,87,77,82,85,78,84,64,59,80,61,55
sergio busquets,sergio busquets burgos,86,fc barcelona,laliga santander,spain,29,189,76,right,40,48,34,74,58,55,82,80,74,88,59,77,60,61,54,44,60,82,86,68,81,85,80,79,84,62,68,88,79,66,81,66,88,77,85
muller,thomas muller,86,fc bayern munchen,bundesliga,germany,28,186,75,right,77,76,78,78,76,72,92,82,75,83,82,93,87,77,77,83,60,46,58,82,31,41,44,77,81,77,59,81,68,81,71,81,90,67,57
alex sandro,alex sandro lobo silva,86,juventus,calcio a,brazil,27,181,81,left,86,84,88,81,79,79,86,81,82,82,65,70,55,80,72,68,60,81,82,76,78,84,84,77,70,86,59,81,71,78,84,79,93,80,82
lukaku,romelu lukaku,86,manchester united,premier league,belgium,24,190,94,left,83,76,89,74,62,47,85,75,77,84,85,87,89,88,75,76,82,34,27,87,27,30,30,70,73,68,66,71,68,72,84,71,80,93,72
alaba,david alaba,86,fc bayern munchen,bundesliga,austria,25,180,76,left,86,86,86,80,79,77,84,83,79,79,73,77,63,83,83,68,80,82,85,75,81,83,83,81,78,82,85,83,80,78,74,82,87,69,69
isco,francisco roman alarcon suarez,86,real madrid,laliga santander,spain,25,176,74,right,71,74,69,89,83,85,79,91,90,86,83,83,88,72,87,64,76,54,70,55,25,73,51,82,84,72,74,86,85,86,62,64,71,59,58
rodriguez,james rodriguez,86,fc bayern munchen,bundesliga,colombia,26,180,75,left,76,77,75,83,82,75,84,85,83,87,85,80,82,86,91,91,81,40,55,62,25,42,30,85,86,88,86,84,80,87,68,54,68,70,65
kane,harry kane,86,tottenham hotspur,premier league,england,24,188,86,right,71,68,74,79,73,62,87,82,78,84,87,89,90,87,84,73,84,42,35,83,41,36,38,72,75,70,66,75,67,71,83,70,85,86,74
diego costa,diego da silva costa,86,atletico madrid,laliga santander,spain,29,186,87,right,75,74,75,76,58,52,86,83,77,84,83,88,88,84,73,81,76,40,40,83,28,39,34,65,74,65,59,67,52,62,88,64,83,91,93
filipe luis,filipe luis kasmirski,86,atletico madrid,laliga santander,brazil,32,182,73,left,81,76,84,78,74,60,83,81,77,88,62,71,59,71,60,56,65,83,83,68,86,84,87,78,70,85,75,79,77,74,80,63,92,74,82
coutinho,philippe coutinho correia,86,fc barcelona,laliga santander,brazil,25,171,68,right,82,88,77,88,92,92,81,88,88,85,78,83,74,80,86,75,64,35,30,47,24,44,40,83,87,77,82,85,78,84,64,59,80,61,55
pjanic,miralem pjanic,86,juventus,calcio a,bosnia and herzegovina,27,180,70,right,74,74,74,86,79,79,84,89,86,84,70,70,61,78,82,72,79,71,78,63,65,74,69,87,89,80,92,90,85,87,70,61,79,65,68
perisic,ivan perisic,86,inter,calcio a,croatia,29,186,79,right,86,82,89,84,80,69,82,86,86,82,81,85,79,84,81,81,76,43,43,79,26,46,46,80,80,86,77,80,73,74,76,83,87,76,59
azpilicueta,cesar azpilicueta tanco,86,chelsea,premier league,spain,28,178,78,right,79,78,79,74,75,73,86,79,69,78,55,62,46,68,60,51,66,87,85,76,88,89,88,77,70,81,60,83,77,68,79,76,89,73,81
casemiro,carlos henrique venancio casimiro,86,real madrid,laliga santander,brazil,26,184,80,right,63,64,61,72,66,57,83,78,69,86,69,66,59,87,78,53,66,86,88,75,84,89,88,74,76,52,74,82,84,59,87,88,85,85,88
icardi,mauro icardi,86,inter,calcio a,argentina,25,181,75,right,79,75,81,78,75,78,85,79,75,84,85,91,91,82,71,82,79,28,23,90,18,22,22,61,64,46,45,73,54,58,72,94,72,76,56
barzagli,andrea barzagli,85,juventus,calcio a,italy,36,187,87,right,71,64,76,65,51,64,80,65,64,82,34,28,21,54,39,35,60,88,92,72,90,90,88,57,62,40,31,65,65,50,73,85,46,87,70
kompany,vincent kompany,85,manchester city,premier league,belgium,31,193,85,right,63,61,64,65,60,42,84,68,63,81,54,41,45,75,55,46,63,84,80,84,84,85,84,65,59,61,52,72,66,61,83,71,74,88,87
filipe luis,filipe luis kasmirski,85,atletico madrid,laliga santander,brazil,32,182,73,left,79,75,82,78,74,60,83,81,77,88,62,71,59,71,60,56,65,82,82,68,85,83,86,77,70,84,75,78,77,74,79,63,91,74,81
matuidi,blaise matuidi,85,juventus,calcio a,france,30,175,70,left,78,79,78,76,76,79,84,77,73,82,67,68,65,74,66,72,56,82,85,73,83,84,81,77,75,75,52,84,79,65,84,84,94,78,85
vertonghen,jan vertonghen,85,tottenham hotspur,premier league,belgium,30,189,88,left,67,68,66,70,62,55,82,74,69,81,65,60,56,86,68,52,68,85,86,81,84,86,86,72,68,68,73,79,74,58,81,83,79,81,83
marchisio,claudio marchisio,85,juventus,calcio a,italy,32,180,73,right,78,78,78,84,81,79,86,85,84,84,72,80,61,82,82,76,78,76,80,68,72,78,80,83,84,76,78,87,85,78,74,68,81,70,78
pjanic,miralem pjanic,85,juventus,calcio a,bosnia and herzegovina,27,180,70,right,74,74,74,86,79,79,84,89,86,84,70,70,61,78,82,72,79,67,74,60,62,70,66,86,88,80,91,89,85,86,69,61,78,65,68
di maria,angel di maria,85,paris saint-germain,ligue 1 conforama,argentina,30,180,75,left,86,86,86,85,92,79,80,85,86,82,77,82,74,83,77,77,73,47,38,53,37,59,56,82,81,85,72,83,79,78,68,72,78,60,73
azpilicueta,cesar azpilicueta tanco,85,chelsea,premier league,spain,28,178,78,right,79,78,79,74,75,73,86,79,69,78,55,62,46,68,60,51,66,86,85,76,87,88,87,74,68,78,58,80,74,66,78,76,88,73,80
gundogan,ilkay gundogan,85,manchester city,premier league,germany,27,180,80,right,71,73,70,87,83,81,87,88,87,86,74,79,72,77,74,75,76,64,79,49,57,67,64,83,87,74,74,88,83,81,71,62,71,74,68
jordi alba,jordi alba ramos,85,fc barcelona,laliga santander,spain,28,170,68,left,93,93,93,82,90,86,82,83,80,75,69,77,73,64,66,60,59,81,83,63,81,84,83,75,68,82,64,79,70,77,72,81,90,60,75
glik,kamil glik,85,as monaco football club sa,ligue 1 conforama,poland,30,190,80,right,56,53,58,55,34,55,79,59,51,79,32,24,27,57,20,17,39,86,87,85,85,87,83,44,23,29,26,63,59,35,84,82,72,90,86
mkhitaryan,henrikh mkhitaryan,85,manchester united,premier league,armenia,29,177,75,right,86,88,84,86,89,85,82,87,87,79,79,82,77,87,75,81,72,54,64,53,49,53,55,80,85,79,64,84,72,83,70,71,86,63,69
lacazette,alexandre lacazette,85,arsenal,premier league,france,26,175,73,right,86,84,87,85,87,84,85,84,85,86,83,87,87,81,76,82,84,38,40,72,23,42,30,71,74,64,71,79,59,74,77,76,80,79,70
insigne,lorenzo insigne,85,napoli,calcio a,italy,26,163,59,right,90,94,86,89,96,93,80,90,88,78,74,83,73,70,80,74,61,25,26,56,16,24,22,82,87,83,77,83,73,83,50,53,75,44,34
casemiro,carlos henrique venancio casimiro,85,real madrid,laliga santander,brazil,26,184,80,right,62,63,61,72,66,57,83,78,69,86,68,66,59,86,77,53,66,84,86,74,83,87,86,74,76,52,74,82,84,59,86,87,85,85,87
varane,raphael varane,85,real madrid,laliga santander,france,24,191,78,right,79,77,81,65,58,47,81,77,57,82,45,44,40,52,53,42,43,84,82,83,84,86,85,61,56,36,54,75,76,46,79,80,68,85,77
carrasco,yannick carrasco,85,atletico madrid,laliga santander,belgium,24,180,67,right,88,87,89,87,91,71,83,86,91,75,79,82,79,84,75,68,74,29,18,53,19,39,26,78,74,80,78,79,74,81,63,68,73,59,61
mkhitaryan,henrikh mkhitaryan,85,arsenal,premier league,armenia,29,177,75,right,86,88,84,86,89,85,82,87,87,79,79,82,77,87,75,81,72,54,64,53,49,53,55,80,85,79,64,84,72,83,70,71,86,63,69
koke,jorge resurreccion,85,atletico madrid,laliga santander,spain,26,178,74,right,72,74,70,81,77,78,84,86,80,75,75,80,71,84,81,56,59,65,66,62,65,68,52,86,89,84,76,86,85,85,76,61,82,76,71
fernandinho,fernando luiz rosa,85,manchester city,premier league,brazil,32,179,67,right,73,73,73,78,77,80,83,79,77,73,74,68,69,84,79,75,61,80,88,57,74,86,79,80,78,71,74,86,83,73,81,74,83,77,89
morata,alvaro borja morata martin,85,chelsea,premier league,spain,25,189,85,right,83,78,87,81,62,56,82,85,84,79,81,84,83,81,78,82,72,23,24,79,14,14,20,71,76,73,44,78,51,76,74,80,70,83,54
benatia,medhi benatia,85,juventus,calcio a,morocco,30,190,92,right,74,72,76,65,59,51,78,65,64,78,44,39,47,61,25,32,42,86,84,80,87,87,84,55,47,45,27,66,66,34,83,83,68,90,83
otamendi,nicolas otamendi,85,manchester city,premier league,argentina,30,183,81,right,63,62,64,58,71,64,80,66,42,87,58,50,54,71,58,58,45,85,87,85,82,85,86,61,46,53,40,73,68,51,82,87,76,80,91
immobile,ciro immobile,85,lazio,calcio a,italy,28,185,85,right,83,78,87,82,80,66,89,83,80,85,86,89,89,89,78,83,78,38,40,75,31,33,32,62,63,55,51,71,49,71,78,81,74,77,81
salah,mohamed salah,85,liverpool,premier league,egypt,25,175,71,left,93,93,93,87,87,84,82,88,88,75,77,87,83,74,65,74,64,45,55,59,37,43,41,76,80,74,61,81,66,71,72,76,84,66,68
aduriz,aritz aduriz zubeldia,84,athletic club,laliga santander,spain,37,182,78,right,70,69,70,76,53,57,85,80,79,87,83,86,85,83,80,84,75,46,23,94,46,44,49,64,73,54,54,71,52,61,79,94,64,83,82
gomez,alejandro gomez,84,atalanta,calcio a,argentina,30,165,68,right,90,94,86,88,92,94,83,87,89,84,77,81,78,76,78,72,71,31,40,36,24,30,34,80,85,82,71,82,72,78,58,70,78,48,56
dani alves,daniel alves da silva,84,paris saint-germain,ligue 1 conforama,brazil,34,172,68,right,82,79,84,84,85,87,79,86,84,82,68,74,55,86,78,68,70,77,81,72,73,79,83,81,78,86,74,83,77,80,66,80,76,55,78
cahill,gary cahill,84,chelsea,premier league,england,32,193,86,right,63,62,63,62,62,51,85,63,58,75,58,45,56,63,66,47,53,84,83,86,84,85,84,52,56,28,27,65,61,48,78,82,69,80,84
koscielny,laurent koscielny,84,arsenal,premier league,france,32,186,75,right,75,74,76,66,68,62,82,67,62,75,41,39,32,54,47,35,51,85,86,81,83,87,84,62,56,52,49,76,69,22,78,82,75,76,88
falcao,radamel falcao garcia zarate,84,as monaco football club sa,ligue 1 conforama,colombia,32,177,72,right,69,73,66,79,85,75,82,82,74,87,84,85,87,79,80,84,84,36,41,90,16,42,19,68,68,55,71,78,58,83,74,92,68,75,75
payet,dimitri payet,84,olympique de marseille,ligue 1 conforama,france,30,175,77,right,75,79,72,87,79,81,76,90,89,86,78,79,76,78,83,79,76,37,37,59,29,36,39,86,87,86,91,86,84,90,70,48,73,76,57
benatia,medhi benatia,84,juventus,calcio a,morocco,30,190,92,right,74,72,76,65,59,51,78,65,64,78,42,38,45,59,24,31,41,85,84,80,86,86,84,54,47,45,27,65,65,34,82,82,68,89,82
juan mata,juan manuel mata garcia,84,manchester united,premier league,spain,29,170,63,left,67,71,63,84,85,89,84,87,82,85,76,83,79,75,70,71,81,32,39,59,25,28,21,84,87,84,84,86,77,84,54,72,75,43,52
khedira,sami khedira,84,juventus,calcio a,germany,30,189,89,right,64,60,68,76,59,52,86,81,78,84,74,80,69,82,78,76,69,80,86,76,76,82,78,80,82,72,68,85,81,68,84,68,78,89,82
willian,willian borges da silva,84,chelsea,premier league,brazil,29,175,77,right,88,91,86,86,89,81,83,86,87,79,76,80,77,71,81,59,70,49,55,29,43,58,51,81,83,77,85,82,77,82,64,46,87,62,44
dzeko,edin dzeko,84,roma,calcio a,bosnia and herzegovina,32,193,84,right,64,67,61,74,57,36,83,80,76,79,83,89,87,86,73,77,67,32,50,84,11,28,16,70,70,63,54,77,72,65,72,66,70,82,51
perisic,ivan perisic,84,inter,calcio a,croatia,29,186,79,right,84,81,87,81,78,67,80,83,83,80,80,84,79,83,80,80,76,42,42,78,26,45,45,78,78,84,76,78,72,73,75,82,86,75,59
bruno,bruno soriano llido,84,villarreal cf,laliga santander,spain,33,184,73,left,41,42,41,75,53,59,84,83,75,86,72,69,66,84,81,48,75,78,85,61,70,84,85,79,83,60,77,87,86,72,77,66,76,77,79
