full name,name,club,nation,overall,league,age,height,reactions,positioning,penalties,long passing,standing tackle,ball control,interceptions,acceleration,marking,strength,pac,aggression,agility,volleys,sprint speed,phy,pas,sliding tackle,long_shots,short passing,shot power,curve,dri,jumping,vision,crossing,finishing,balance,heading accuracy,defending,sho,free kick accuracy,composure,foot,dribbling,stamina
david josue jimenez silva,david silva,manchester city,spain,89,premier league,32,173,85,83,75,79,45,92,44,72,25,56,68,51,94,81,65,62,88,29,75,92,72,82,89,67,93,83,72,91,55,39,74,75,94,left,85,79
arjen robben,robben,fc bayern munchen,holland,88,bundesliga,34,180,87,85,80,71,26,89,39,87,29,67,86,47,89,86,86,63,81,26,88,84,87,87,90,61,83,80,85,91,51,32,86,81,86,left,92,68
zlatan ibrahimovic,ibrahimovic,manchester united,sweden,88,premier league,36,195,86,86,91,76,41,88,20,63,15,88,65,84,81,90,67,82,81,27,85,84,91,82,82,69,83,76,87,41,80,32,88,82,91,right,82,71
thiago emiliano da silva,thiago silva,paris saint-germain,brazil,88,ligue 1 conforama,33,183,84,59,71,81,89,80,89,70,90,81,72,77,74,63,74,79,73,88,71,79,74,61,74,93,74,60,38,68,82,88,56,67,83,right,68,74
mesut ozil,ozil,arsenal,germany,88,premier league,29,180,87,83,67,84,16,90,24,75,22,57,71,48,83,77,68,58,87,19,76,89,70,84,86,52,92,82,74,70,54,24,74,79,78,left,86,69
mats hummels,hummels,fc bayern munchen,germany,88,bundesliga,29,191,85,56,68,85,92,77,89,62,85,85,64,66,64,60,65,76,75,90,51,80,71,65,72,68,79,64,55,58,89,89,58,53,91,right,68,66
diego godin,godin,atletico madrid,uruguay,88,laliga santander,32,186,85,48,50,70,86,76,88,62,87,80,65,86,63,47,67,78,65,89,43,79,67,49,64,89,52,55,42,58,92,88,48,51,82,right,53,67
jerome boateng,boateng,fc bayern munchen,germany,88,bundesliga,29,192,82,47,46,80,91,71,83,72,88,91,75,82,58,53,78,84,72,90,58,75,79,56,68,75,76,69,34,53,85,88,50,31,86,right,67,74
leonardo bonucci,bonucci,milan,italy,88,calcio a,30,190,86,38,70,85,88,75,90,62,84,85,68,82,60,58,72,81,70,88,65,79,74,56,71,85,74,44,39,52,88,87,54,61,84,right,69,73
pierre-emerick aubameyang,aubameyang,borussia dortmund,gabon,88,premier league,28,187,87,89,79,64,25,82,48,95,28,77,96,43,77,86,96,71,75,36,79,77,81,78,81,77,77,77,88,70,79,37,84,74,84,right,82,79
thiago alcantara,thiago,fc bayern munchen,spain,88,bundesliga,26,174,84,83,75,90,64,92,78,77,49,59,72,57,90,90,68,63,85,62,82,91,75,85,90,75,86,72,69,86,58,62,75,77,83,right,90,75
antoine griezmann,griezmann,atletico madrid,france,88,laliga santander,26,174,90,91,71,75,22,86,35,87,23,61,86,69,90,87,86,68,78,11,82,79,81,84,87,87,76,82,88,80,80,30,85,75,86,left,87,76
paulo dybala,dybala,juventus,argentina,88,calcio a,24,177,84,84,86,71,20,93,24,88,14,65,86,48,91,88,84,67,81,20,88,83,82,88,91,75,84,80,85,85,68,24,85,84,84,left,92,83
n'golo kante,kante,chelsea,france,88,premier league,26,168,88,71,54,80,90,79,92,83,75,77,82,90,84,56,80,84,76,86,66,85,72,49,81,79,77,67,65,91,54,82,66,49,85,right,77,94
pierre-emerick aubameyang,aubameyang,arsenal,gabon,88,premier league,28,187,87,89,79,64,25,82,48,95,28,77,96,43,77,86,96,71,75,36,79,77,81,78,81,77,77,77,88,70,79,37,84,74,84,right,82,79
edinson cavani,cavani,paris saint-germain,uruguay,88,ligue 1 conforama,31,184,92,94,86,50,45,81,48,75,24,74,77,85,82,86,78,82,73,27,79,79,87,76,81,89,78,70,85,59,88,42,85,75,84,right,81,93
christian eriksen,eriksen,tottenham hotspur,denmark,88,premier league,26,182,83,83,68,86,56,88,55,77,38,57,75,44,78,75,74,63,89,22,86,90,82,85,85,57,91,86,77,82,52,47,80,87,88,right,85,90
paul pogba,pogba,manchester united,france,88,premier league,25,191,85,83,76,90,68,90,68,73,66,91,76,75,76,85,78,88,86,66,82,88,90,86,85,85,88,79,71,61,73,68,79,83,86,right,87,91
harry kane,kane,tottenham hotspur,england,88,premier league,24,188,89,91,85,69,36,84,35,69,41,87,73,74,74,74,76,84,75,38,85,78,89,73,81,70,78,72,92,63,83,42,89,68,86,right,79,86
andres iniesta lujan,iniesta,fc barcelona,spain,87,laliga santander,33,171,88,84,71,86,57,94,66,72,57,58,71,58,79,74,71,58,87,56,71,92,65,80,90,52,94,77,70,84,54,58,70,70,89,right,90,58
gerard pique bernabeu,pique,fc barcelona,spain,87,laliga santander,31,194,84,58,69,80,87,78,88,55,86,83,65,72,58,57,73,76,69,86,51,81,62,58,66,74,62,57,64,42,83,86,61,43,86,right,59,66
david josue jimenez silva,david silva,manchester city,spain,87,premier league,32,173,84,81,73,79,44,90,43,72,25,56,68,51,92,79,65,61,87,29,73,91,71,82,87,66,92,83,71,89,54,38,72,75,92,left,84,78
ivan rakitic,rakitic,fc barcelona,croatia,87,laliga santander,30,184,79,80,78,92,65,87,69,67,52,63,65,67,72,80,64,66,86,53,88,87,84,88,82,44,87,81,83,66,58,60,84,84,81,right,84,76
marek hamsik,hamsik,napoli,slovakia,87,calcio a,30,183,88,88,70,82,73,87,72,72,60,69,74,56,76,79,75,70,84,62,83,88,82,80,84,71,86,78,78,66,74,68,80,72,84,right,86,85
marcelo vieira da silva,marcelo,real madrid,brazil,87,laliga santander,29,174,87,75,59,76,85,88,83,77,80,77,78,84,77,54,79,79,80,87,66,82,83,80,85,77,75,90,67,82,71,82,69,67,85,left,84,81
edinson cavani,cavani,paris saint-germain,uruguay,87,ligue 1 conforama,31,184,91,92,84,50,45,80,48,75,24,74,77,84,81,84,78,81,72,27,78,78,85,75,80,88,77,70,83,59,88,42,83,74,83,right,80,92
arturo vidal,vidal,fc bayern munchen,chile,87,bundesliga,30,180,89,80,81,82,89,83,85,76,76,77,75,93,75,78,74,84,80,85,85,84,86,76,79,82,80,76,77,77,81,83,81,68,86,right,76,91
christian eriksen,eriksen,tottenham hotspur,denmark,87,premier league,26,182,83,81,67,86,56,87,55,77,38,57,75,44,78,74,74,63,88,22,84,89,80,85,84,57,90,86,76,82,52,47,78,87,87,right,84,90
paul pogba,pogba,manchester united,france,87,premier league,25,191,84,83,76,88,68,89,68,72,66,91,74,75,76,85,76,88,84,66,82,86,90,84,84,85,86,78,71,61,73,68,79,82,85,right,86,91
marco verratti,verratti,paris saint-germain,italy,87,ligue 1 conforama,25,165,87,71,64,89,84,88,86,69,76,56,65,89,87,64,62,68,84,79,58,90,56,73,89,64,88,72,58,94,55,79,59,64,91,right,90,77
n'golo kante,kante,chelsea,france,87,premier league,26,168,87,71,54,79,89,79,91,82,75,77,81,90,83,56,80,84,75,85,66,84,72,49,80,79,76,67,65,90,54,81,66,49,84,right,77,94
sergio busquets burgos,sergio busquets,fc barcelona,spain,87,laliga santander,29,189,86,80,63,79,85,84,86,48,81,77,40,85,61,46,34,81,79,80,56,88,64,66,78,66,84,62,63,57,68,82,62,68,92,right,77,88
lorenzo insigne,insigne,napoli,italy,87,calcio a,26,163,81,86,63,74,24,92,26,94,16,44,90,34,98,77,86,51,84,22,83,85,72,85,91,54,89,85,75,95,56,25,77,78,79,right,89,76
jordi alba ramos,jordi alba,fc barcelona,spain,87,laliga santander,28,170,83,78,59,71,85,84,84,93,82,61,93,77,91,60,93,74,77,84,66,81,64,79,83,83,69,84,74,87,63,82,70,65,75,left,80,92
dries mertens,mertens,napoli,belgium,87,calcio a,30,169,85,86,78,75,40,88,36,93,30,42,90,60,95,70,87,56,81,40,81,83,80,83,90,61,84,78,86,93,35,36,83,78,81,right,90,76
philippe coutinho correia,coutinho,fc barcelona,brazil,87,laliga santander,25,171,81,85,65,78,44,89,30,88,24,61,82,55,93,76,77,65,84,40,88,86,82,85,89,59,88,77,75,93,47,35,80,82,85,right,89,81
kepler laveran lima ferreira,pepe,besiktas jk,portugal,86,super lig,35,188,83,40,57,61,86,62,86,65,86,84,68,94,63,23,70,80,57,87,56,70,63,44,61,76,48,46,46,49,80,86,50,47,77,right,58,62
franck ribery,ribery,fc bayern munchen,france,86,bundesliga,34,170,86,81,78,75,25,90,36,85,13,60,82,52,88,80,79,58,83,26,75,86,76,83,89,34,86,81,76,91,41,25,76,81,86,right,90,64
francesc fabregas i soler,cesc fabregas,chelsea,spain,86,premier league,30,180,81,78,80,90,63,86,50,65,60,64,63,45,65,81,62,64,88,62,75,91,77,77,81,68,91,85,76,77,74,60,77,81,92,right,80,80
karim benzema,benzema,real madrid,france,86,laliga santander,30,187,83,87,82,47,15,86,22,77,13,78,78,65,77,79,78,74,77,12,77,86,83,79,82,70,85,75,87,60,78,22,84,73,82,right,82,73
joao miranda de souza filho,miranda,inter,brazil,86,calcio a,33,186,82,43,49,69,90,72,88,67,89,80,71,83,61,51,74,77,60,86,41,70,70,32,68,82,58,48,43,57,83,88,49,39,84,right,65,65
sokratis papastathopoulos,sokratis,borussia dortmund,greece,86,bundesliga,29,186,81,50,33,64,90,58,80,71,88,86,78,91,62,46,84,84,55,86,48,64,79,36,61,87,52,47,44,68,87,87,52,35,82,right,58,74
dries mertens,mertens,napoli,belgium,86,calcio a,30,169,85,85,78,74,40,88,36,93,30,42,90,59,94,70,87,55,79,40,81,81,80,81,89,60,82,77,85,92,35,36,82,77,81,right,89,75
javier martinez aginaga,javi martinez,fc bayern munchen,spain,86,bundesliga,29,190,84,57,52,74,87,71,86,49,84,84,50,91,54,61,50,80,69,87,63,75,76,54,66,83,74,60,53,58,90,86,60,45,83,right,62,64
radja nainggolan,nainggolan,roma,belgium,86,calcio a,29,176,87,88,63,81,86,85,86,80,78,76,78,88,81,75,76,83,78,88,86,84,84,73,82,76,76,73,76,84,59,81,80,68,85,right,80,94
diego da silva costa,diego costa,chelsea,spain,86,laliga santander,29,186,86,88,76,52,39,83,40,74,28,91,75,93,58,81,75,88,65,34,73,67,84,62,76,64,74,65,88,52,83,40,83,59,84,right,77,83
david luiz moreira marinho,david luiz,chelsea,brazil,86,premier league,30,189,79,54,75,78,85,79,87,68,80,81,70,86,72,64,71,81,74,84,71,79,77,70,71,80,69,68,55,56,83,84,64,76,78,right,66,76
toby alderweireld,alderweireld,tottenham hotspur,belgium,86,premier league,29,187,86,56,60,81,90,70,84,62,89,82,66,81,60,38,69,80,72,85,66,77,86,63,66,81,67,64,45,50,82,87,58,69,81,right,62,76
marco reus,reus,borussia dortmund,germany,86,bundesliga,28,180,87,86,87,80,36,85,50,86,30,67,88,49,86,88,90,64,84,46,88,86,87,90,85,72,86,80,86,81,49,39,87,84,83,right,86,68
philippe coutinho correia,coutinho,liverpool,brazil,86,laliga santander,25,171,81,83,64,78,44,88,30,88,24,61,82,55,92,75,77,64,83,40,86,85,80,84,88,59,87,77,74,92,47,35,78,82,85,right,88,80
sergio busquets burgos,sergio busquets,fc barcelona,spain,86,laliga santander,29,189,82,77,60,79,85,80,86,48,81,77,40,85,58,44,34,81,79,80,54,88,61,66,74,66,84,62,60,55,68,82,59,68,88,right,74,88
thomas muller,muller,fc bayern munchen,germany,86,bundesliga,28,186,92,93,60,68,41,82,58,76,31,67,77,57,76,83,78,71,77,44,77,81,77,81,78,81,81,77,87,72,82,46,82,59,83,right,75,90
alex sandro lobo silva,alex sandro,juventus,brazil,86,calcio a,27,181,86,70,60,71,84,81,82,84,78,80,86,82,79,68,88,84,77,84,72,81,80,78,81,79,70,86,55,79,76,81,65,59,82,left,82,93
romelu lukaku,lukaku,manchester united,belgium,86,premier league,24,190,85,87,82,68,30,75,27,76,27,93,83,72,62,76,89,84,70,30,75,71,88,72,74,71,73,68,89,47,87,34,85,66,84,left,77,80
david alaba,alaba,fc bayern munchen,austria,86,bundesliga,25,180,84,77,80,80,83,83,85,86,81,69,86,69,79,68,86,74,81,83,83,83,83,78,80,82,78,82,63,77,75,82,73,85,79,left,79,87
francisco roman alarcon suarez,isco,real madrid,spain,86,laliga santander,25,176,79,83,76,85,73,91,70,74,25,59,71,58,83,64,69,62,82,51,87,86,72,86,89,64,84,72,88,85,55,54,83,74,86,right,90,71
james rodriguez,rodriguez,fc bayern munchen,colombia,86,bundesliga,26,180,84,80,81,80,42,85,55,77,25,70,76,65,82,91,75,68,85,30,91,84,86,87,83,54,86,88,82,75,62,40,85,86,87,left,83,68
harry kane,kane,tottenham hotspur,england,86,premier league,24,188,87,89,84,67,36,82,35,68,41,86,71,74,73,73,74,83,72,38,84,75,87,71,79,70,75,70,90,62,83,42,87,66,84,right,78,85
diego da silva costa,diego costa,atletico madrid,spain,86,laliga santander,29,186,86,88,76,52,39,83,40,74,28,91,75,93,58,81,75,88,65,34,73,67,84,62,76,64,74,65,88,52,83,40,83,59,84,right,77,83
filipe luis kasmirski,filipe luis,atletico madrid,brazil,86,laliga santander,32,182,83,71,65,77,84,81,83,76,86,74,81,82,74,56,84,80,78,87,60,79,71,74,78,63,70,85,59,60,68,83,62,75,88,left,77,92
philippe coutinho correia,coutinho,fc barcelona,brazil,86,laliga santander,25,171,81,83,64,78,44,88,30,88,24,61,82,55,92,75,77,64,83,40,86,85,80,84,88,59,87,77,74,92,47,35,78,82,85,right,88,80
miralem pjanic,pjanic,juventus,bosnia and herzegovina,86,calcio a,27,180,84,70,79,85,74,89,78,74,65,65,74,68,79,72,74,70,87,69,82,90,78,87,86,61,89,80,61,79,63,71,70,92,84,right,86,79
ivan perisic,perisic,inter,croatia,86,calcio a,29,186,82,85,76,73,46,86,43,82,26,76,86,59,80,81,89,76,80,46,81,80,84,74,84,83,80,86,79,69,79,43,81,77,82,right,86,87
cesar azpilicueta tanco,azpilicueta,chelsea,spain,86,premier league,28,178,86,62,66,77,89,79,85,78,88,73,79,81,75,51,79,79,77,88,60,83,68,68,74,76,70,81,46,73,76,87,55,60,78,right,69,89
carlos henrique venancio casimiro,casemiro,real madrid,brazil,86,laliga santander,26,184,83,66,66,84,89,78,88,64,84,85,63,88,66,53,61,87,74,88,78,82,87,59,72,88,76,52,59,57,75,86,69,74,86,right,69,85
mauro icardi,icardi,inter,argentina,86,calcio a,25,181,85,91,79,54,22,79,23,75,18,76,79,56,75,82,81,72,61,22,71,73,82,58,78,94,64,46,91,78,90,28,85,45,84,right,75,72
andrea barzagli,barzagli,juventus,italy,85,calcio a,36,187,80,28,60,65,90,65,92,64,90,87,71,70,51,35,76,73,57,88,39,65,54,50,65,85,62,40,21,64,72,88,34,31,82,right,64,46
vincent kompany,kompany,manchester city,belgium,85,premier league,31,193,84,41,63,66,85,68,80,61,84,88,63,87,60,46,64,83,65,84,55,72,75,61,65,71,59,61,45,42,84,84,54,52,81,right,63,74
filipe luis kasmirski,filipe luis,atletico madrid,brazil,85,laliga santander,32,182,83,71,65,77,83,81,82,75,85,74,79,81,74,56,82,79,77,86,60,78,71,74,78,63,70,84,59,60,68,82,62,75,88,left,77,91
blaise matuidi,matuidi,juventus,france,85,calcio a,30,175,84,68,56,79,84,77,85,79,83,78,78,85,76,72,78,84,77,81,66,84,74,65,76,84,75,75,65,79,73,82,67,52,82,left,73,94
jan vertonghen,vertonghen,tottenham hotspur,belgium,85,premier league,30,189,82,60,68,74,86,74,86,68,84,81,67,83,62,52,66,81,72,86,68,79,86,58,70,83,68,68,56,55,81,85,65,73,81,left,69,79
claudio marchisio,marchisio,juventus,italy,85,calcio a,32,180,86,80,78,85,78,85,80,78,72,70,78,78,81,76,78,74,83,80,82,87,82,78,84,68,84,76,61,79,68,76,72,78,84,right,84,81
miralem pjanic,pjanic,juventus,bosnia and herzegovina,85,calcio a,27,180,84,70,79,85,70,89,74,74,62,65,74,68,79,72,74,69,86,66,82,89,78,86,86,61,88,80,61,79,60,67,70,91,84,right,86,78
angel di maria,di maria,paris saint-germain,argentina,85,ligue 1 conforama,30,180,80,82,73,79,59,85,38,86,37,60,86,73,92,77,86,68,82,56,77,83,83,78,85,72,81,85,74,79,53,47,77,72,82,left,86,78
cesar azpilicueta tanco,azpilicueta,chelsea,spain,85,premier league,28,178,86,62,66,74,88,79,85,78,87,73,79,80,75,51,79,78,74,87,60,80,68,66,74,76,68,78,46,73,76,86,55,58,78,right,69,88
ilkay gundogan,gundogan,manchester city,germany,85,premier league,27,180,87,79,76,83,67,88,79,73,57,74,71,68,83,75,70,71,83,64,74,88,77,81,87,62,87,74,72,81,49,64,74,74,86,right,87,71
jordi alba ramos,jordi alba,fc barcelona,spain,85,laliga santander,28,170,82,77,59,70,84,83,83,93,81,60,93,75,90,60,93,72,75,83,66,79,64,77,82,81,68,82,73,86,63,81,69,64,75,left,80,90
kamil glik,glik,as monaco football club sa,poland,85,ligue 1 conforama,30,190,79,24,39,59,87,59,87,53,85,90,56,86,34,17,58,84,44,83,20,63,57,35,55,82,23,29,27,55,85,86,32,26,79,right,51,72
henrikh mkhitaryan,mkhitaryan,manchester united,armenia,85,premier league,29,177,82,82,72,72,53,87,64,88,49,63,86,69,89,81,84,70,80,55,75,84,87,83,86,71,85,79,77,85,53,54,79,64,79,right,87,86
alexandre lacazette,lacazette,arsenal,france,85,premier league,26,175,85,87,84,59,42,84,40,84,23,79,86,70,87,82,87,77,71,30,76,79,81,74,85,76,74,64,87,84,72,38,83,71,86,right,85,80
lorenzo insigne,insigne,napoli,italy,85,calcio a,26,163,80,83,61,73,24,90,26,94,16,44,90,34,96,74,86,50,82,22,80,83,70,83,89,53,87,83,73,93,56,25,74,77,78,right,88,75
carlos henrique venancio casimiro,casemiro,real madrid,brazil,85,laliga santander,26,184,83,66,66,84,87,78,86,63,83,85,62,87,66,53,61,86,74,86,77,82,86,59,72,87,76,52,59,57,74,84,68,74,86,right,69,85
raphael varane,varane,real madrid,france,85,laliga santander,24,191,81,44,43,76,86,77,82,77,84,85,79,77,58,42,81,79,61,85,53,75,52,46,65,80,56,36,40,47,83,84,45,54,82,right,57,68
yannick carrasco,carrasco,atletico madrid,belgium,85,laliga santander,24,180,83,82,74,74,39,86,18,87,19,59,88,61,91,68,89,63,78,26,75,79,84,81,87,68,74,80,79,71,53,29,79,78,75,right,91,73
henrikh mkhitaryan,mkhitaryan,arsenal,armenia,85,premier league,29,177,82,82,72,72,53,87,64,88,49,63,86,69,89,81,84,70,80,55,75,84,87,83,86,71,85,79,77,85,53,54,79,64,79,right,87,86
jorge resurreccion,koke,atletico madrid,spain,85,laliga santander,26,178,84,80,59,85,68,86,66,74,65,76,72,71,77,56,70,76,86,52,81,86,84,85,81,61,89,84,71,78,62,65,75,76,75,right,80,82
fernando luiz rosa,fernandinho,manchester city,brazil,85,premier league,32,179,83,68,61,83,86,79,88,73,74,77,73,89,77,75,73,81,80,79,79,86,84,73,78,74,78,71,69,80,57,80,74,74,73,right,77,83
alvaro borja morata martin,morata,chelsea,spain,85,premier league,25,189,82,84,72,51,14,85,24,78,14,83,83,54,62,82,87,74,71,20,78,78,81,76,81,80,76,73,83,56,79,23,81,44,79,right,84,70
medhi benatia,benatia,juventus,morocco,85,calcio a,30,190,78,39,42,66,87,65,84,72,87,90,74,83,59,32,76,83,55,84,25,66,61,34,65,83,47,45,47,51,80,86,44,27,78,right,64,68
nicolas otamendi,otamendi,manchester city,argentina,85,premier league,30,183,80,50,45,68,85,66,87,62,82,80,63,91,71,58,64,82,61,86,58,73,71,51,58,87,46,53,54,64,85,85,58,40,87,right,42,76
ciro immobile,immobile,lazio,italy,85,calcio a,28,185,89,89,78,49,33,83,40,78,31,77,83,81,80,83,87,78,62,32,78,71,89,71,82,81,63,55,89,66,75,38,86,51,85,right,80,74
mohamed salah,salah,liverpool,egypt,85,premier league,25,175,82,87,64,66,43,88,55,93,37,66,93,68,87,74,93,72,76,41,65,81,74,71,87,76,80,74,83,84,59,45,77,61,75,left,88,84
aritz aduriz zubeldia,aduriz,athletic club,spain,84,laliga santander,37,182,85,86,75,52,44,80,23,69,46,83,70,82,53,84,70,79,64,49,80,71,83,61,76,94,73,54,85,57,94,46,83,54,87,right,79,64
alejandro gomez,gomez,atalanta,argentina,84,calcio a,30,165,83,81,71,72,30,87,40,94,24,48,90,56,92,72,86,58,80,34,78,82,76,78,88,70,85,82,78,94,36,31,77,71,84,right,89,78
daniel alves da silva,dani alves,paris saint-germain,brazil,84,ligue 1 conforama,34,172,79,74,70,77,79,86,81,79,73,55,82,78,85,68,84,66,81,83,78,83,86,80,84,80,78,86,55,87,72,77,68,74,82,right,84,76
gary cahill,cahill,chelsea,england,84,premier league,32,193,85,45,53,61,85,63,83,62,84,80,63,84,62,47,63,78,52,84,66,65,63,48,62,82,56,28,56,51,86,84,58,27,75,right,58,69
laurent koscielny,koscielny,arsenal,france,84,premier league,32,186,82,39,51,69,87,67,86,74,83,76,75,88,68,35,76,78,62,84,47,76,54,22,66,82,56,52,32,62,81,85,41,49,75,right,62,75
radamel falcao garcia zarate,falcao,as monaco football club sa,colombia,84,ligue 1 conforama,32,177,82,85,84,58,42,82,41,73,16,75,69,75,85,84,66,74,68,19,80,78,79,83,79,92,68,55,87,75,90,36,84,71,87,right,74,68
dimitri payet,payet,olympique de marseille,france,84,ligue 1 conforama,30,175,76,79,76,84,36,90,37,79,29,76,75,57,79,79,72,70,86,39,83,86,78,90,87,48,87,86,76,81,59,37,78,91,86,right,89,73
medhi benatia,benatia,juventus,morocco,84,calcio a,30,190,78,38,41,65,86,65,84,72,86,89,74,82,59,31,76,82,54,84,24,65,59,34,65,82,47,45,45,51,80,85,42,27,78,right,64,68
juan manuel mata garcia,juan mata,manchester united,spain,84,premier league,29,170,84,83,81,77,28,87,39,71,25,43,67,52,85,71,63,54,84,21,70,86,75,84,84,72,87,84,79,89,59,32,76,84,85,left,82,75
sami khedira,khedira,juventus,germany,84,calcio a,30,189,86,80,69,81,82,81,86,60,76,89,64,82,59,76,68,84,80,78,78,85,82,68,76,68,82,72,69,52,76,80,74,68,84,right,78,78
willian borges da silva,willian,chelsea,brazil,84,premier league,29,175,83,80,70,77,58,86,55,91,43,62,88,44,89,59,86,64,81,51,81,82,71,82,86,46,83,77,77,81,29,49,76,85,79,right,87,87
edin dzeko,dzeko,roma,bosnia and herzegovina,84,calcio a,32,193,83,89,67,72,28,80,50,67,11,82,64,51,57,77,61,72,70,16,73,77,86,65,74,66,70,63,87,36,84,32,83,54,79,right,76,70
ivan perisic,perisic,inter,croatia,84,calcio a,29,186,80,84,76,72,45,83,42,81,26,75,84,59,78,80,87,75,78,45,80,78,83,73,81,82,78,84,79,67,78,42,80,76,80,right,83,86
bruno soriano llido,bruno,villarreal cf,spain,84,laliga santander,33,184,84,69,75,86,84,83,85,42,70,77,41,79,53,48,41,77,79,85,81,87,84,72,75,66,83,60,66,59,61,78,72,77,86,left,75,76
pedro rodriguez ledesma,pedro,chelsea,spain,84,premier league,30,169,84,84,66,70,32,87,49,84,30,56,82,56,84,70,80,62,77,31,78,83,71,81,84,67,77,78,81,82,55,37,77,57,78,right,84,78
kevin strootman,strootman,roma,holland,84,calcio a,28,186,84,78,77,83,83,85,84,65,72,83,67,86,65,63,68,82,82,75,78,86,85,75,78,53,84,74,68,68,68,78,74,74,85,left,76,82
