acceleration,age,aggression,agility,balance,ball control,club,composure,crossing,curve,defending,dri,dribbling,finishing,free kick accuracy,full name,heading,height,interceptions,jumping,league,long passing,long shots,marking,name,nation,overall,pac,pas,penalties,phy,positioning,reactions,sho,short passing,shot power,sliding tackle,sprint speed,stamina,standing tackle,strength,strong foot,vision,volleys
82,26,90,83,90,79,Chelsea,84,67,49,81,80,77,65,49,N'Golo Kante,54,168,91,79,Premier League,79,66,75,Kante,France,87,81,75,54,84,71,87,66,84,72,85,80,94,89,77,Right,76,56
69,24,74,74,63,84,Tottenham Hotspur,86,72,73,42,81,79,92,68,Harry Kane,83,188,35,70,Premier League,69,85,41,Kane,England,88,73,75,85,84,91,89,89,78,89,38,76,86,36,87,Right,78,74
83,26,90,84,91,79,Chelsea,85,67,49,82,81,77,65,49,N'Golo Kante,54,168,92,79,Premier League,80,66,75,Kante,France,88,82,76,54,84,71,88,66,85,72,86,80,94,90,77,Right,77,56
82,26,90,83,90,79,Chelsea,84,67,49,81,80,77,65,49,N'Golo Kante,54,168,91,79,Premier League,79,66,75,Kante,France,87,81,75,54,84,71,87,66,84,72,85,80,94,89,77,Right,76,56
62,29,66,64,58,78,Fc Bayern Munchen,92,64,65,90,73,68,55,53,Mats Hummels,90,191,90,68,Bundesliga,86,51,85,Hummels,Germany,89,65,76,68,77,56,86,58,81,71,91,66,66,93,86,Right,80,60
92,30,48,90,95,95,Fc Barcelona,96,77,89,26,95,97,95,90,Lionel Messi,71,170,22,68,Laliga Santander,87,88,13,Messi,Argentina,93,89,86,74,61,93,95,90,88,85,26,87,73,28,59,Left,90,85
67,30,67,72,66,87,Fc Barcelona,81,81,88,60,82,84,83,84,Ivan Rakitic,58,184,69,44,Laliga Santander,92,88,52,Rakitic,Croatia,87,65,86,78,66,80,79,84,87,84,53,64,76,65,63,Right,87,80
72,25,75,76,61,89,Manchester United,85,78,84,68,84,86,71,82,Paul Pogba,73,191,68,85,Premier League,88,82,66,Pogba,France,87,74,84,76,88,83,84,79,86,90,66,76,91,68,91,Right,86,85
75,31,84,81,59,80,Paris Saint-Germain,83,70,75,42,80,80,83,74,Edinson Cavani,88,184,48,88,Ligue 1 Conforama,50,78,24,Cavani,Uruguay,87,77,72,84,81,92,91,83,78,85,27,78,92,45,74,Right,77,84
93,30,60,95,93,88,Napoli,81,78,83,36,90,90,86,78,Dries Mertens,35,171,36,61,Calcio A,75,81,30,Mertens,Belgium,87,90,81,78,56,86,85,83,83,80,40,87,76,40,42,Right,84,70
94,26,34,98,95,92,Napoli,79,85,85,25,91,89,75,78,Lorenzo Insigne,56,163,26,54,Calcio A,74,83,16,Insigne,Italy,87,90,84,63,51,86,81,77,85,72,22,86,76,24,44,Right,89,77
70,33,77,74,68,80,Paris Saint-Germain,83,60,61,88,74,68,38,67,Thiago Emiliano Da Silva,82,183,89,93,Ligue 1 Conforama,81,71,90,Thiago Silva,Brazil,88,72,73,71,79,59,84,56,79,74,88,74,74,89,81,Right,74,63
63,36,84,81,41,88,Manchester United,91,76,82,32,82,82,87,82,Zlatan Ibrahimovic,80,195,20,69,Premier League,76,85,15,Ibrahimovic,Sweden,88,65,81,91,82,86,86,88,84,91,27,67,71,41,88,Right,83,90
88,25,55,93,93,89,Fc Barcelona,85,77,85,35,89,89,75,82,Philippe Coutinho Correia,47,171,30,59,Laliga Santander,78,88,24,Coutinho,Brazil,87,82,84,65,65,85,81,80,86,82,40,77,81,44,61,Right,88,76
48,29,85,61,57,84,Fc Barcelona,92,62,66,82,78,77,63,68,Sergio Busquets Burgos,68,189,86,66,Laliga Santander,79,56,81,Sergio Busquets,Spain,87,40,79,63,81,80,86,62,88,64,80,34,88,85,77,Right,84,46
95,28,43,77,70,82,Borussia Dortmund,84,77,78,37,81,82,88,74,Pierre-Emerick Aubameyang,79,187,48,77,Premier League,64,79,28,Aubameyang,Gabon,88,96,75,79,71,89,87,84,77,81,36,96,79,25,77,Right,77,86
88,24,48,91,85,93,Juventus,84,80,88,24,91,92,85,84,Paulo Dybala,68,177,24,75,Calcio A,71,88,14,Dybala,Argentina,88,86,81,86,67,84,84,85,83,82,20,84,83,20,65,Left,84,88
93,28,77,91,87,84,Fc Barcelona,75,84,79,82,83,80,74,65,Jordi Alba Ramos,63,170,84,83,Laliga Santander,71,66,82,Jordi Alba,Spain,87,93,77,59,74,78,83,70,81,64,84,93,92,85,61,Left,69,60
87,26,69,90,80,86,Atletico Madrid,86,82,84,30,87,87,88,75,Antoine Griezmann,80,174,35,87,Laliga Santander,75,82,23,Griezmann,France,88,86,78,71,68,91,90,85,79,81,11,86,76,22,61,Left,76,87
72,29,82,58,53,71,Fc Bayern Munchen,86,69,56,88,68,67,34,31,Jerome Boateng,85,192,83,75,Bundesliga,80,58,88,Boateng,Germany,88,75,72,46,84,47,82,50,75,79,90,78,74,91,91,Right,76,53
62,29,66,64,58,77,Fc Bayern Munchen,91,64,65,89,72,68,55,53,Mats Hummels,89,191,89,68,Bundesliga,85,51,85,Hummels,Germany,88,64,75,68,76,56,85,58,80,71,90,65,66,92,85,Right,79,60
87,34,47,89,91,89,Fc Bayern Munchen,86,80,87,32,90,92,85,81,Arjen Robben,51,180,39,61,Bundesliga,71,88,29,Robben,Netherlands,88,86,81,80,63,85,87,86,84,87,26,86,68,26,67,Left,83,86
77,26,57,90,86,92,Fc Bayern Munchen,83,72,85,62,90,90,69,77,Thiago Alcantara,58,174,78,75,Bundesliga,90,82,49,Thiago,Spain,88,72,85,75,63,83,84,75,91,75,62,68,75,64,59,Right,86,90
62,30,82,60,52,75,Milan,84,44,56,87,71,69,39,61,Leonardo Bonucci,88,190,90,85,Calcio A,85,65,84,Bonucci,Italy,88,68,70,70,81,38,86,54,79,74,88,72,73,88,85,Right,74,58
74,27,68,79,79,89,Juventus,84,80,87,71,86,86,61,92,Miralem Pjanic,63,180,78,61,Calcio A,85,82,65,Pjanic,Bosnia And Herzegovina,86,74,87,79,70,70,84,70,90,78,69,74,79,74,65,Right,89,72
74,27,68,79,79,89,Juventus,84,80,86,69,86,86,61,91,Miralem Pjanic,61,180,76,61,Calcio A,85,82,63,Pjanic,Bosnia And Herzegovina,85,74,86,79,69,70,84,70,89,78,67,74,78,72,65,Right,88,72
62,29,81,60,50,70,Tottenham Hotspur,81,64,63,87,66,62,45,69,Toby Alderweireld,82,187,84,81,Premier League,81,66,89,Alderweireld,Belgium,86,66,72,60,80,56,86,58,77,86,85,69,76,90,82,Right,67,38
95,28,43,77,70,82,Arsenal,84,77,78,37,81,82,88,74,Pierre-Emerick Aubameyang,79,187,48,77,Premier League,64,79,28,Aubameyang,Gabon,88,96,75,79,71,89,87,84,77,81,36,96,79,25,77,Right,77,86
72,32,51,92,89,90,Manchester City,92,83,82,38,87,84,71,75,David Josue Jimenez Silva,54,173,43,66,Premier League,79,73,25,David Silva,Spain,87,68,87,73,61,81,84,72,91,71,29,65,78,44,56,Left,92,79
78,28,81,75,73,79,Chelsea,78,81,68,87,74,69,46,60,Cesar Azpilicueta Tanco,76,178,85,76,Premier League,77,60,88,Azpilicueta,Spain,86,79,77,66,79,62,86,55,83,68,88,79,89,89,73,Right,70,51
78,28,81,80,66,83,Lazio,85,55,71,38,82,80,89,51,Ciro Immobile,75,185,40,81,Calcio A,49,78,31,Immobile,Italy,85,83,62,78,78,89,89,86,71,89,32,87,74,33,77,Right,63,83
63,26,87,66,57,78,Real Madrid Cf,86,52,59,84,72,69,59,74,Carlos Henrique Venancio Casimiro,74,184,86,87,Laliga Santander,84,77,83,Casemiro,Brazil,85,62,74,66,86,66,83,68,82,86,86,61,85,87,85,Right,76,53
76,24,72,62,47,75,Manchester United,84,68,72,34,74,77,89,66,Romelu Lukaku,87,190,27,71,Premier League,68,75,27,Lukaku,Belgium,86,83,70,82,84,87,85,85,71,88,30,89,80,30,93,Left,73,76
77,26,65,82,75,85,Fc Bayern Munchen,87,88,87,40,83,83,82,86,James Rodriguez,62,180,55,54,Bundesliga,80,91,25,Rodriguez,Colombia,86,76,85,81,68,80,84,85,84,86,30,75,68,42,70,Left,86,91
86,30,73,92,79,85,Paris Saint-Germain,82,85,78,47,85,86,74,72,Angel Di Maria,53,180,38,72,Ligue 1 Conforama,79,77,37,Di Maria,Argentina,85,86,82,73,68,82,80,77,83,83,56,86,78,59,60,Left,81,77
75,25,56,75,78,79,Inter,84,46,58,28,78,75,91,45,Mauro Icardi,90,181,23,94,Calcio A,54,71,18,Icardi,Argentina,86,79,61,79,72,91,85,85,73,82,22,81,72,22,76,Right,64,82
84,26,70,87,84,84,Arsenal,86,64,74,38,85,85,87,71,Alexandre Lacazette,72,175,40,76,Premier League,59,76,23,Lacazette,France,85,86,71,84,77,87,85,83,79,81,30,87,80,42,79,Right,74,82
74,26,71,77,78,86,Atletico Madrid,75,84,85,65,81,80,71,76,Jorge Resurreccion,62,178,66,61,Laliga Santander,85,81,65,Koke,Spain,85,72,86,59,76,80,84,75,86,84,52,70,82,68,76,Right,89,56
88,29,69,89,85,87,Arsenal,79,79,83,54,86,87,77,64,Henrikh Mkhitaryan,53,177,64,71,Premier League,72,75,49,Mkhitaryan,Armenia,85,86,80,72,70,82,82,79,84,87,55,84,86,53,63,Right,85,81
93,25,68,87,84,88,Liverpool,75,74,71,45,87,88,83,61,Mohamed Salah,59,175,55,76,Premier League,66,65,37,Salah,Egypt,85,93,76,64,72,87,82,77,81,74,41,93,84,43,66,Left,80,74
73,32,89,77,80,79,Manchester City,73,71,73,80,78,77,69,74,Fernando Luiz Rosa,57,179,88,74,Premier League,83,79,74,Fernandinho,Brazil,85,73,80,61,81,68,83,74,86,84,79,73,83,86,77,Right,78,75
72,30,83,59,51,65,Juventus,78,45,34,86,65,64,47,27,Medhi Benatia,80,190,84,83,Calcio A,66,25,87,Benatia,Morocco,85,74,55,42,83,39,78,44,66,61,84,76,68,87,90,Right,47,32
86,28,49,86,81,85,Borussia Dortmund,83,80,90,39,85,86,86,84,Marco Reus,49,180,50,72,Bundesliga,80,88,30,Reus,Germany,86,88,84,87,64,86,87,87,86,87,46,90,68,36,67,Right,86,88
74,25,58,83,85,91,Real Madrid Cf,86,72,86,54,89,90,88,74,Francisco Roman Alarcon Suarez,55,176,70,64,Laliga Santander,85,87,25,Isco,Spain,86,71,82,76,62,83,79,83,86,72,51,69,71,73,59,Right,84,64
78,25,54,62,56,85,Chelsea,79,73,76,23,81,84,83,44,Alvaro Borja Morata Martin,79,189,24,80,Premier League,51,78,14,Morata,Spain,85,83,71,72,74,84,82,81,78,81,20,87,70,14,83,Right,76,82
62,30,91,71,64,66,Manchester City,87,53,51,85,58,42,54,40,Nicolas Otamendi,85,183,87,87,Premier League,68,58,82,Otamendi,Argentina,85,63,61,45,82,50,80,58,73,71,86,64,76,85,80,Right,46,58
85,34,52,88,91,90,Fc Bayern Munchen,86,81,83,25,89,90,76,81,Franck Ribery,41,170,36,34,Bundesliga,75,75,13,Ribery,France,86,82,83,78,58,81,86,76,86,76,26,79,64,25,60,Right,86,80
80,29,88,81,84,85,Roma,85,73,73,81,82,80,76,68,Radja Nainggolan,59,176,86,76,Calcio A,81,86,78,Nainggolan,Belgium,86,78,78,63,83,88,87,80,84,84,88,76,94,86,76,Right,76,75
48,29,85,58,55,80,Fc Barcelona,88,62,66,82,74,74,60,68,Sergio Busquets Burgos,68,189,86,66,Laliga Santander,79,54,81,Sergio Busquets,Spain,86,40,79,60,81,77,82,59,88,61,80,34,88,85,77,Right,84,44
71,29,91,62,68,58,Borussia Dortmund,82,47,36,87,61,58,44,35,Sokratis Papastathopoulos,87,186,80,87,Bundesliga,64,48,88,Sokratis,Greece,86,78,55,33,84,50,81,52,64,79,86,84,74,90,86,Right,52,46
84,27,82,79,79,81,Juventus,82,86,78,81,81,82,55,59,Alex Sandro Lobo Silva,76,181,82,79,Calcio A,71,72,78,Alex Sandro,Brazil,86,86,77,60,84,70,86,65,81,80,84,88,93,84,80,Left,70,68
76,28,57,76,72,82,Fc Bayern Munchen,83,77,81,46,78,75,87,59,Thomas Muller,82,186,58,81,Bundesliga,68,77,31,Muller,Germany,86,77,77,60,71,93,92,82,81,77,44,78,90,41,67,Right,81,83
68,30,86,72,56,79,Chelsea,78,68,70,84,71,66,55,76,David Luiz Moreira Marinho,83,189,87,80,Premier League,78,71,80,David Luiz,Brazil,86,70,74,75,81,54,79,64,79,77,84,71,76,85,81,Right,69,64
65,35,94,63,49,62,Besiktas Jk,77,46,44,86,61,58,46,47,Kepler Laveran Lima Ferreira,80,188,86,76,Super Lig,61,56,86,Pepe,Portugal,86,68,57,57,80,40,83,50,70,63,87,70,62,86,84,Right,48,23
77,30,65,77,60,86,Real Madrid Cf,82,75,79,22,82,82,87,73,Karim Benzema,78,187,22,70,Laliga Santander,47,77,13,Benzema,France,86,78,77,82,74,87,83,84,86,83,12,78,73,15,78,Right,85,79
67,33,83,61,57,72,Inter,84,48,32,88,68,65,43,39,Joao Miranda De Souza Filho,83,186,88,82,Calcio A,69,41,89,Miranda,Brazil,86,71,60,49,77,43,82,49,70,70,86,74,65,90,80,Right,58,51
93,30,59,94,92,88,Napoli,81,77,81,36,89,89,85,77,Dries Mertens,35,169,36,60,Calcio A,74,81,30,Mertens,Belgium,86,90,79,78,55,85,85,82,81,80,40,87,75,40,42,Right,82,70
79,30,85,76,79,77,Juventus,82,75,65,82,76,73,65,52,Blaise Matuidi,73,175,85,84,Calcio A,79,66,83,Matuidi,France,85,78,77,56,84,68,84,67,84,74,81,78,94,84,78,Left,75,72
49,29,91,54,58,71,Fc Bayern Munchen,83,60,54,86,66,62,53,45,Javier Martinez Aginaga,90,190,86,83,Bundesliga,74,63,84,Javi Martinez,Spain,86,50,69,52,80,57,84,60,75,76,87,50,64,87,84,Right,74,61
68,24,74,73,62,82,Tottenham Hotspur,84,70,71,42,79,78,90,66,Harry Kane,83,188,35,70,Premier League,67,84,41,Kane,England,86,71,72,84,83,89,87,87,75,87,38,74,85,36,86,Right,75,73
93,28,75,90,86,83,Fc Barcelona,75,82,77,81,82,80,73,64,Jordi Alba Ramos,63,170,83,81,Laliga Santander,70,66,81,Jordi Alba,Spain,85,93,75,59,72,77,82,69,79,64,83,93,90,84,60,Left,68,60
73,24,85,71,69,81,As Monaco Football Club Sa,81,81,72,84,77,75,66,46,Fabio Henrique Tavares,75,188,84,78,Ligue 1 Conforama,75,53,79,Fabinho,Brazil,84,74,78,91,85,68,80,65,84,75,86,75,91,89,81,Right,73,30
78,23,74,85,85,85,Fc Bayern Munchen,79,90,82,78,82,78,66,62,Joshua Kimmich,69,176,80,79,Bundesliga,81,67,77,Kimmich,Germany,84,72,84,44,72,76,85,67,87,75,80,66,85,79,65,Right,80,61
67,35,73,50,36,69,Fc Schalke 04,85,46,53,85,63,60,58,78,Ronaldo Aparecido Rodrigues,92,198,83,42,Bundesliga,72,83,80,Naldo,Brazil,84,69,65,61,76,54,83,71,74,94,85,70,64,86,85,Right,60,61
75,32,81,74,60,81,Atletico Madrid,88,84,74,82,78,77,59,75,Filipe Luis Kasmirski,68,182,82,63,Laliga Santander,77,60,85,Filipe Luis,Brazil,85,79,77,65,79,71,83,62,78,71,86,82,91,83,74,Left,70,56
85,30,65,89,77,85,Rc Celta De Vigo,73,69,86,30,85,86,86,79,Iago Aspas Juncal,80,176,37,70,Laliga Santander,66,80,20,Iago Aspas,Spain,84,82,76,80,65,85,87,83,83,79,18,79,72,21,60,Left,70,86
86,22,63,85,84,87,As Monaco Football Club Sa,79,84,83,62,87,89,79,83,Thomas Lemar,54,170,66,73,Ligue 1 Conforama,72,76,63,Lemar,France,84,85,82,68,71,76,76,78,84,83,63,84,80,59,69,Left,84,68
64,36,70,51,64,65,Juventus,82,40,50,88,65,64,21,31,Andrea Barzagli,72,187,92,85,Calcio A,65,39,90,Barzagli,Italy,85,71,57,60,73,28,80,34,65,54,88,76,46,90,87,Right,62,35
42,33,79,53,59,83,Villarreal Cf,86,60,72,78,75,75,66,77,Bruno Soriano Llido,61,184,85,66,Laliga Santander,86,81,70,Bruno,Spain,84,41,79,75,77,69,84,72,87,84,85,41,76,84,77,Left,83,48
71,29,52,85,89,87,Manchester United,85,84,84,32,84,82,79,84,Juan Manuel Mata Garcia,59,170,39,72,Premier League,77,70,25,Juan Mata,Spain,84,67,84,81,54,83,84,76,86,75,21,63,75,28,43,Left,87,71
76,28,86,84,82,86,Manchester United,84,74,80,78,83,81,71,65,Ander Herrera Aguera,60,182,86,63,Premier League,80,72,80,Ander Herrera,Spain,84,73,81,79,77,78,85,72,86,72,76,70,87,78,70,Right,84,69
94,30,56,92,94,87,Atalanta,84,82,78,31,88,89,78,71,Alejandro Gomez,36,165,40,70,Calcio A,72,78,24,Gomez,Argentina,84,90,80,71,58,81,83,77,82,76,34,86,78,30,48,Right,85,72
75,23,87,63,63,68,Manchester United,74,51,46,84,66,63,33,43,Eric Bailly,81,187,85,84,Premier League,56,48,82,Bailly,Cote D'Ivoire,84,78,59,46,84,47,78,42,72,55,85,80,78,85,85,Right,54,42
85,23,58,88,86,89,Manchester City,84,79,79,45,89,91,76,63,Bernardo Mota Carvalho E Silva,51,173,49,53,Premier League,78,64,46,Bernardo Silva,Portugal,84,81,81,64,61,77,84,72,84,72,35,78,80,44,54,Left,85,66
79,30,57,79,81,90,Olympique De Marseille,86,86,90,37,87,89,76,91,Dimitri Payet,59,175,37,48,Ligue 1 Conforama,84,83,29,Payet,France,84,75,86,76,70,79,76,78,86,78,39,72,73,36,76,Right,87,79
79,34,78,85,87,86,Paris Saint-Germain,82,86,80,77,84,84,55,74,Daniel Alves Da Silva,72,172,81,80,Ligue 1 Conforama,77,78,73,Dani Alves,Brazil,84,82,81,70,66,74,79,68,83,86,83,84,76,79,55,Right,78,68
76,24,48,81,75,87,Paris Saint-Germain,81,83,78,34,86,88,78,75,Julian Draxler,65,187,36,76,Ligue 1 Conforama,77,81,25,Draxler,Germany,84,78,82,63,64,79,83,80,84,86,26,79,68,35,67,Right,84,84
86,27,79,70,72,76,Manchester City,75,80,78,81,76,77,51,72,Kyle Walker,73,183,78,85,Premier League,68,68,79,Walker,England,84,90,75,63,83,66,81,63,77,86,84,93,92,85,78,Right,70,57
64,25,79,66,69,70,Arsenal,74,50,55,83,63,53,58,47,Shkodran Mustafi,81,184,85,84,Premier League,69,52,82,Mustafi,Germany,84,67,63,54,79,50,82,57,77,66,85,69,74,83,81,Right,55,51
79,22,45,78,76,86,Real Madrid Cf,79,79,83,39,83,83,78,76,Marco Asensio Willemsen,50,180,45,57,Laliga Santander,81,87,29,Marco Asensio,Spain,84,78,83,62,61,72,78,79,86,81,39,77,73,42,61,Left,83,75
72,26,71,77,78,86,Atletico Madrid,75,84,85,63,81,80,71,76,Jorge Resurreccion,61,178,64,61,Laliga Santander,85,81,63,Koke,Spain,84,70,86,59,75,80,84,75,86,84,51,69,81,66,75,Right,89,56
68,23,72,49,55,71,Manchester City,74,58,62,86,62,55,45,77,Aymeric Laporte,85,189,85,77,Premier League,78,47,86,Laporte,France,84,69,66,35,78,54,82,50,73,70,85,70,71,88,84,Left,52,40
85,27,42,93,85,89,Leicester City,82,82,80,30,88,89,76,75,Riyad Mahrez,48,179,40,65,Premier League,74,73,26,Mahrez,Algeria,84,82,79,73,58,81,75,76,79,78,20,80,79,24,53,Left,80,72
89,19,62,79,77,89,Paris Saint-Germain,81,70,76,47,86,88,88,58,Kylian Mbappe,76,178,49,71,Ligue 1 Conforama,68,68,41,Mbappe,France,84,91,75,70,74,79,80,81,79,79,40,91,83,44,74,Right,78,74
77,26,67,82,81,86,Liverpool,78,72,81,47,86,88,84,67,Roberto Firmino Barbosa De Oliveira,73,181,37,83,Premier League,75,80,30,Roberto Firmino,Brazil,84,77,80,72,79,85,82,82,84,79,42,77,88,60,77,Right,84,79
79,24,75,86,94,89,Olympique Lyonnais,87,75,83,31,89,89,78,73,Nabil Fekir,49,173,28,75,Ligue 1 Conforama,74,82,24,Fekir,France,84,81,80,72,79,80,78,80,83,85,30,82,73,33,84,Left,81,74
57,28,68,69,72,84,Valencia Cf,74,84,87,65,78,75,75,90,Daniel Parejo Munoz,67,180,72,55,Laliga Santander,87,80,62,Parejo,Spain,84,54,87,83,72,79,80,77,90,80,54,51,77,65,73,Right,85,72
68,23,72,49,55,71,Athletic Club De Bilbao,74,58,62,86,62,55,45,77,Aymeric Laporte,85,189,85,77,Laliga Santander,78,47,86,Laporte,France,84,69,66,35,78,54,82,50,73,70,85,70,71,88,84,Left,52,40
69,26,75,61,60,71,Lazio,82,49,45,86,66,61,25,16,Stefan De Vrij,78,189,86,72,Calcio A,71,60,88,De Vrij,Netherlands,84,69,58,41,78,32,78,41,71,65,82,69,70,87,82,Right,50,27
94,26,34,96,93,90,Napoli,78,83,83,25,89,88,73,77,Lorenzo Insigne,56,163,26,53,Calcio A,73,80,16,Insigne,Italy,85,90,82,61,50,83,80,74,83,70,22,86,75,24,44,Right,87,74
67,33,61,77,69,89,Sl Benfica,88,70,86,35,85,85,88,78,Jonas Goncalves Oliveira,79,182,34,70,Liga Nos,70,84,23,Jonas,Brazil,84,66,76,84,66,87,86,86,74,83,25,66,72,36,63,Right,84,86
94,23,35,92,93,84,Manchester City,74,74,65,46,86,86,76,50,Raheem Sterling,38,170,26,62,Premier League,68,72,48,Sterling,England,84,93,76,65,64,84,79,74,83,70,54,92,78,58,67,Right,77,61
83,28,68,87,84,82,Sl Benfica,85,77,84,63,83,82,77,76,Luis Miguel Afonso Fernandes,46,177,70,67,Liga Nos,82,79,64,Pizzi,Portugal,83,79,82,76,70,86,82,78,83,74,53,76,91,66,59,Right,87,77
73,23,80,66,68,76,Paris Saint-Germain,79,73,49,85,70,65,33,32,Marcos Aoas Correa,80,183,85,85,Ligue 1 Conforama,79,35,86,Marquinhos,Brazil,84,76,69,31,76,46,81,38,81,53,87,77,75,86,74,Right,51,31
71,23,80,66,68,76,Paris Saint-Germain,79,72,49,84,70,65,33,32,Marcos Aoas Correa,80,183,84,85,Ligue 1 Conforama,78,35,85,Marquinhos,Brazil,83,73,68,31,76,46,81,38,80,53,86,74,75,85,74,Right,51,31
91,31,75,92,93,87,Toronto Fc,88,72,87,27,87,86,83,87,Sebastian Giovinco,34,163,26,35,Major League Soccer,75,81,23,Giovinco,Italy,83,84,79,77,57,83,82,81,80,79,28,77,77,29,42,Right,84,74
89,31,75,92,93,87,Toronto Fc,88,72,86,27,87,86,83,86,Sebastian Giovinco,34,163,26,35,Major League Soccer,75,81,23,Giovinco,Italy,82,82,78,77,57,83,82,81,79,79,28,76,77,29,42,Right,83,74
87,28,48,93,87,85,Fc Porto,86,79,85,34,89,91,76,80,Yacine Brahimi,47,175,39,75,Liga Nos,71,76,24,Brahimi,Algeria,84,81,78,77,59,78,83,75,79,70,25,75,80,37,51,Right,80,75
66,33,61,77,69,88,Sl Benfica,87,70,85,35,84,84,87,77,Jonas Goncalves Oliveira,79,182,34,69,Liga Nos,70,84,23,Jonas,Brazil,83,65,75,84,65,86,85,85,74,83,25,65,71,36,63,Right,83,85
60,30,82,59,52,81,Juventus,84,72,68,80,76,78,69,68,Sami Khedira,76,189,86,68,Calcio A,81,78,76,Khedira,Germany,84,64,80,69,84,80,86,74,85,82,78,68,78,82,89,Right,82,76
87,24,61,91,71,86,Atletico Madrid,75,80,81,29,87,91,79,78,Yannick Carrasco,53,180,18,68,Laliga Santander,74,75,19,Carrasco,Belgium,85,88,78,74,63,82,83,79,79,84,26,89,73,39,59,Right,74,68
67,26,88,58,60,77,Fc Porto,84,50,48,82,74,76,56,53,Danilo Luis Helio Pereira,76,188,85,67,Liga Nos,79,64,80,Danilo Pereira,Portugal,83,68,69,52,87,69,76,62,82,77,78,68,87,85,89,Right,69,55
72,24,80,68,66,75,Fc Barcelona,74,69,72,82,71,69,51,63,Samuel Umtiti,72,182,86,87,Laliga Santander,73,74,80,Umtiti,France,83,74,71,61,79,58,77,64,79,83,83,75,79,85,78,Left,58,70
70,33,55,77,85,85,Ogc Nice,83,86,88,38,82,82,72,86,Wesley Sneijder,32,170,45,30,Alka Superliga,86,84,32,Sneijder,Netherlands,83,69,86,76,56,74,77,78,84,86,37,69,62,41,57,Right,88,80
85,27,71,87,87,84,Fenerbahce Sk,84,74,69,46,84,84,78,70,Giuliano Victor De Paula,60,172,42,61,Super Lig,76,75,48,Giuliano,Brazil,83,83,79,76,74,80,82,78,81,81,38,80,76,43,75,Right,83,67
